8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
164.8,190,136.126,136.101,136.1,135.81,124.18,126.45,20170324
165,192,136.655,136.546,136.55,136.42,125.25,127.07,20170324
165.2,214,137.268,137.125,137.19,137.03,125.83,128.15,20170324
165.4,187,137.799,137.991,137.74,137.8,127.57,128.51,20170324
165.6,212,138.59,137.494,138.31,138.49,127.39,129.87,20170324
165.8,202,139.164,139.423,138.88,139.31,127.92,130.4,20170324
166,181,140.04,139.834,140.16,139.86,129.58,130.74,20170324
166.2,237,140.979,138.876,140.7,140.83,131.39,133.07,20170324
166.4,233,141.388,142.195,141.92,142,132.74,134.11,20170324
166.6,145,142.232,141.942,142.6,142.63,133,134.79,20170324
166.8,202,142.886,142.949,143.46,143.44,133.97,135.61,20170324
167,207,141.248,143.307,144.47,144.25,134.29,136.01,20170324
167.2,190,144.651,144.545,145.03,144.91,135.35,137.16,20170324
167.4,202,143.339,145.218,145.96,147.62,136.23,137.84,20170324
