8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
155.400 ,219.000 ,106.326 ,107.024 ,108.780 ,106.850 ,98.710 ,99.890 ,20211118 
155.600 ,185.000 ,107.178 ,107.204 ,107.310 ,107.190 ,98.350 ,100.360 ,20211118 
155.800 ,214.000 ,108.249 ,107.771 ,108.210 ,107.610 ,99.010 ,100.970 ,20211118 
156.000 ,188.000 ,108.159 ,108.174 ,108.340 ,108.350 ,98.880 ,100.770 ,20211118 
156.200 ,220.000 ,108.929 ,105.261 ,108.930 ,108.650 ,99.670 ,101.130 ,20211118 
156.400 ,208.000 ,105.744 ,106.063 ,109.320 ,109.020 ,100.050 ,101.920 ,20211118 
156.600 ,206.000 ,109.495 ,109.367 ,109.720 ,109.640 ,100.260 ,102.260 ,20211118 
156.800 ,202.000 ,109.905 ,110.692 ,110.240 ,110.630 ,100.680 ,102.810 ,20211118 
157.000 ,199.000 ,111.019 ,110.846 ,111.060 ,110.900 ,102.020 ,103.090 ,20211118 
157.200 ,202.000 ,111.523 ,111.369 ,111.590 ,111.360 ,101.920 ,103.490 ,20211118 
157.400 ,212.000 ,111.816 ,111.505 ,112.080 ,111.420 ,101.310 ,104.090 ,20211118 
157.600 ,188.000 ,112.234 ,112.253 ,112.260 ,112.180 ,102.960 ,103.920 ,20211118 
157.800 ,203.000 ,112.865 ,112.672 ,112.990 ,112.540 ,102.910 ,105.330 ,20211118 
158.000 ,208.000 ,113.598 ,112.984 ,113.550 ,113.000 ,102.180 ,104.930 ,20211118 
158.200 ,209.000 ,113.986 ,114.060 ,114.220 ,114.240 ,104.150 ,105.840 ,20211118 
158.400 ,218.000 ,111.136 ,114.523 ,114.670 ,114.600 ,104.480 ,106.600 ,20211118 
158.600 ,185.000 ,111.667 ,115.074 ,115.200 ,115.190 ,103.890 ,107.330 ,20211118 
158.800 ,226.000 ,111.953 ,115.752 ,115.900 ,115.970 ,105.360 ,107.560 ,20211118 
159.000 ,193.000 ,112.679 ,116.299 ,116.550 ,116.500 ,106.060 ,108.430 ,20211118 
