2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001003000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001010000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001013000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001020000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001023000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001030000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001033000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001040000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001043000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001050000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001053000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001060000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001063000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001070000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001073000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001080000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001083000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001090000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001093000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001100000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001103000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001110000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:28　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001113000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
