8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
192.000 ,200.000 ,266.930 ,271.519 ,271.980 ,,264.590 ,265.730 ,20201005
192.200 ,182.000 ,268.835 ,269.233 ,273.400 ,,265.710 ,266.930 ,20201005
192.400 ,200.000 ,274.248 ,271.009 ,274.710 ,,265.710 ,267.550 ,20201005
192.600 ,202.000 ,274.554 ,272.885 ,275.910 ,,267.490 ,269.250 ,20201005
192.800 ,211.000 ,274.364 ,273.641 ,277.190 ,,269.300 ,270.330 ,20201005
193.000 ,161.000 ,275.499 ,275.506 ,278.290 ,,270.410 ,272.180 ,20201005
193.200 ,210.000 ,278.684 ,276.957 ,279.990 ,,272.060 ,272.700 ,20201005
193.400 ,179.000 ,278.927 ,278.523 ,281.990 ,,272.870 ,273.640 ,20201005
193.600 ,213.000 ,280.213 ,285.407 ,283.580 ,,274.000 ,276.590 ,20201005
193.800 ,99.000 ,279.673 ,279.747 ,283.310 ,283.650 ,275.550 ,276.270 ,20201005
194.000 ,198.000 ,280.732 ,282.062 ,284.810 ,285.550 ,275.600 ,276.620 ,20201005
194.200 ,180.000 ,288.373 ,283.214 ,,286.120 ,280.900 ,282.070 ,20201005
194.400 ,218.000 ,289.888 ,283.972 ,,287.380 ,282.000 ,283.380 ,20201005
194.600 ,188.000 ,285.984 ,285.285 ,,288.930 ,282.400 ,283.780 ,20201005
194.800 ,204.000 ,286.991 ,286.372 ,,290.530 ,284.100 ,285.050 ,20201005
195.000 ,232.000 ,290.016 ,286.319 ,,290.920 ,284.450 ,286.180 ,20201005
195.200 ,179.000 ,294.783 ,289.303 ,,292.570 ,286.020 ,286.730 ,20201005
195.400 ,217.000 ,294.014 ,290.586 ,,294.490 ,287.560 ,288.170 ,20201005
195.600 ,188.000 ,291.705 ,291.583 ,,,286.950 ,288.900 ,20201005
