8101030410,êŒéÎêÏêÖån,î¸âlêÏ,,,,,,
0,0,103.95,102.48,108.21,108.69,99.04,101.36,20170324
0.2,223,105.37,104.57,108.76,108.75,100.85,101.83,20170324
0.4,157,105.61,104.14,109.23,109.43,100.58,102.43,20170324
0.6,149,106.09,102.81,109.68,109.74,100.52,101.93,20170324
0.8,178,106.4,105.06,110.04,110.22,100.62,102.68,20170324
1,159,107.37,107.19,111.36,111.08,101.15,103.66,20170324
1.2,223,106.93,104.64,111.21,111.39,102.24,103.77,20170324
1.4,189,107.37,105.71,111.96,111.95,101.62,104.67,20170324
1.6,203,108.26,106.74,112.47,112.49,103.27,104.85,20170324
1.8,187,109.06,107.88,113.27,113.08,102.69,105.7,20170324
2,189,107.45,109.78,114.02,113.53,103.31,104.83,20170324
2.2,192,108.27,108.24,114.6,113.91,103.4,105.16,20170324
2.4,180,111,107.98,115.24,114.71,103.67,105.56,20170324
2.6,198,111.38,107.53,115.82,115.32,104.34,105.84,20170324
2.8,195,109.1,108.64,116.27,115.92,104.46,106.43,20170324
3,205,112.36,112.56,116.97,116.62,106.72,108.41,20170324
3.2,190,112.98,113.15,117.52,117.01,107.1,108.93,20170324
3.4,164,113.39,113.52,118.3,117.78,106.64,109.58,20170324
3.6,180,113.96,114.2,118.71,118.35,108.63,110.45,20170324
3.8,206,115.58,112.7,120.09,118.81,109.39,111.62,20170324
4,180,115.48,115.35,120.56,119.58,108.66,110.8,20170324
4.2,242,115.61,117.63,121.36,120.76,111.09,112.87,20170324
4.4,174,116.58,118.21,122.02,121.21,110.94,113.67,20170324
4.6,191,115.42,115.33,122.4,121.52,111.86,112.82,20170324
4.8,213,117.46,116.43,123.05,122.19,112.77,113.5,20170324
5,192,117.48,117.39,123.71,123.11,113.81,115.74,20170324
5.2,219,118.3,118.21,124.54,123.42,115.15,116.1,20170324
5.4,197,119.23,118.78,127.91,124.04,116.01,117.13,20170324
5.6,197,119.54,119.14,125.87,125.13,116.87,118.46,20170324
5.8,209,120.05,119.34,126.24,126.24,117.45,118.31,20170324
6,167,120.46,120.68,127.04,126.97,117.61,119.18,20170324
6.2,180,121.09,120.62,128.04,127.67,117.3,118.71,20170324
6.4,145,124.42,122.44,128.6,128.34,119.28,121,20170324
6.6,217,127.88,123.25,129.26,129.42,118.7,120.81,20170324
6.8,155,123.56,124.31,,129.94,119.53,120.81,20170324
7,181,123.09,126.1,,130.47,120.01,121.01,20170324
7.2,205,123.92,124.85,,130.98,120.18,121.19,20170324
7.4,144,124.18,126.55,,131.71,120.16,121.91,20170324
7.6,152,124.27,125.6,,132.07,120.8,122.86,20170324
7.8,201,126.62,126.69,,132.95,122.17,123.48,20170324
8,134,129.56,127.24,,133.3,122.39,123.92,20170324
8.2,221,130.69,129.92,,133.82,123.68,125.88,20170324
8.4,170,130.15,130.25,,134.42,127.09,128.08,20170324
8.6,214,131.88,130.39,,135.01,127.99,128.66,20170324
8.8,159,131.97,131.16,,135.83,128.17,129.01,20170324
9,166,131.12,132.36,,136.42,128.81,129.29,20170324
9.2,183,131.4,132.29,,137.06,129.19,129.74,20170324
9.4,210,132.28,131.6,,137.79,129.59,130.12,20170324
9.6,181,132.3,131.98,,138.03,130.08,130.6,20170324
9.8,209,132.83,133.42,,138.53,130.09,131.69,20170324
10,207,133.91,133.32,,138.88,130.48,131.92,20170324
10.2,191,133.77,133.88,,139.83,131.55,132.09,20170324
10.4,195,136.32,135.12,,140.09,132.83,133.31,20170324
10.6,174,134.37,135.26,,140.68,131.33,132.98,20170324
10.8,190,135.72,135.58,,141.3,132.95,133.41,20170324
11,209,135.95,135.86,,142.05,133.41,133.73,20170324
11.2,228,136.64,136.42,,143.38,133.7,134.61,20170324
11.4,144,138.38,136.63,,143.31,133.22,134.92,20170324
11.6,205,138,138,,144.25,135.22,135.65,20170324
11.8,190,137.94,137.6,,144.78,135.34,137.04,20170324
12,208,138.71,139.34,,145.76,136.18,137.37,20170324
12.2,115,139.02,140.15,,146.12,137.98,139.19,20170324
12.4,232,141.97,141.75,,147.4,139,140.31,20170324
12.6,209,142.99,142.72,147.95,147.81,140.57,141.65,20170324
12.8,177,143.17,144.94,148.38,148.46,140.57,141.27,20170324
13,203,143.17,145.81,149.09,149.17,140.1,141.59,20170324
13.2,188,145.13,144.95,149.89,149.64,141.97,142.62,20170324
13.4,170,144.84,143.73,150.68,150.46,141.81,143.7,20170324
13.6,169,145.79,147.41,151.78,152.28,143.53,145.74,20170324
13.8,194,145.61,148.4,152.65,151.64,143.22,144.73,20170324
14,166,147.56,146.98,153.35,152.51,145.23,146.13,20170324
14.2,237,149.02,147.85,153.61,153.52,145.9,147.05,20170324
14.4,205,148.74,148.87,,154.52,146.99,148.56,20170324
14.6,203,152.4,150.05,,155.44,147.7,149.5,20170324
14.8,176,150.81,152.02,156.57,156.17,149.17,149.96,20170324
15,168,151.48,152.79,157.38,156.77,149.33,150.05,20170324
15.2,320,153.59,154.05,158.57,158.96,151.33,152.29,20170324
15.4,226,153.64,156.92,159.44,159.91,151.08,152.29,20170324
15.6,258,155.85,155.84,160.66,161.39,152.7,153.68,20170324
15.8,147,156.39,157.01,161.28,162.07,153.98,154.53,20170324
16,181,157.97,158.54,161.88,163,153.41,154.94,20170324
