8101030250,石狩川水系,空知川,左岸
77.000,16.000,野原排水樋管,193.370,20161228
77.800,169.000,山部第二号排水樋門,195.860,20161228
78.200,5.000,空知川頭首工,194.180,20161228
80.000,137.000,山部第五号排水樋門,202.480,20161228
80.200,90.000,新平和橋,209.070,20161228
80.400,60.000,平和橋,208.240,20161228
80.600,124.000,山部第六号排水樋門,203.150,20161228
82.400,67.000,山部第七号排水樋門,209.190,20161228
83.400,10.000,山部大橋歩道橋,218.610,20161228
83.400,21.000,山部大橋,217.170,20161228
84.000,147.000,山部第九号排水樋門,213.910,20161228
85.200,200.000,山部橋,225.250,20161228
87.400,175.000,下金山橋,235.770,20161228
88.800,110.000,旧下金山橋,239.850,20161228
90.000,88.000,東栄橋,241.690,20161228
90.800,146.000,水管橋,246.880,20161228
93.000,939.000,新生橋,259.350,20161228
95.000,186.000,下金山頭首工,259.090,20161228
96.000,8.000,甲号空知川橋梁,274.220,20161228
96.000,43.000,五月橋,275.980,20161228
96.000,859.000,緑橋,277.460,20161228
96.000,902.000,乙号空知川橋梁,278.140,20161228
98.000,506.000,村田橋,383.520,20161228
101.000,26.000,金山空知川橋梁,301.320,20161228
