8101030250,石狩川水系,空知川,右岸
78.000,213.000,空知川頭首工,194.110,20161228
80.200,116.000,新平和橋,209.050,20161228
80.200,131.000,平和橋,207.830,20161228
83.000,75.000,山部第八号排水樋門,212.150,20161228
83.400,3.000,山部大橋歩道橋,218.610,20161228
83.400,14.000,山部大橋,217.190,20161228
85.200,187.000,山部橋,225.240,20161228
87.400,164.000,下金山橋,236.890,20161228
88.800,62.000,旧下金山橋,239.250,20161228
90.000,17.000,東栄橋,241.800,20161228
90.800,146.000,水管橋,246.870,20161228
93.000,986.000,新生橋,259.360,20161228
95.000,210.000,下金山頭首工,258.370,20161228
96.000,34.000,甲号空知川橋梁,274.220,20161228
96.000,70.000,五月橋,275.560,20161228
96.000,712.000,緑橋,277.240,20161228
96.000,752.000,乙号空知川橋梁,278.230,20161228
98.000,587.000,村田橋,283.530,20161228
101.000,40.000,金山空知川橋梁,303.900,20161228
