44.200,207.000,382.283,380.836,380.953,0.000,68,0.000,381.560,0.000,381.560,0,20210113,8101030410,êŒéÎêÏêÖån,î¸âlêÏ,
0,-14.060,382.170,,,,,,,,,,,,,,
0,-8.280,382.170,,,,,,,,,,,,,,
0,-7.010,382.300,,,,,,,,,,,,,,
0,-5.210,382.310,,,,,,,,,,,,,,
0,-4.170,382.300,,,,,,,,,,,,,,
0,-3.640,381.850,,,,,,,,,,,,,,
5,-2.870,381.750,,,,,,,,,,,,,,
0,-2.870,381.300,,,,,,,,,,,,,,
0,-2.420,381.300,,,,,,,,,,,,,,
5,-2.420,381.750,,,,,,,,,,,,,,
0,-2.140,381.780,,,,,,,,,,,,,,
0,-1.630,381.980,,,,,,,,,,,,,,
0,-1.110,382.070,,,,,,,,,,,,,,
1,0.000,382.283,,,,,,,,,,,,,,
2,0.000,382.010,,,,,,,,,,,,,,
0,0.600,382.110,,,,,,,,,,,,,,
0,1.600,382.230,,,,,,,,,,,,,,
0,3.400,382.950,,,,,,,,,,,,,,
0,4.470,383.020,,,,,,,,,,,,,,
14,5.430,383.040,,,,,,,,,,,,,,
0,6.800,383.020,,,,,,,,,,,,,,
14,8.020,383.020,,,,,,,,,,,,,,
0,8.870,382.970,,,,,,,,,,,,,,
0,10.810,382.110,,,,,,,,,,,,,,
0,15.270,381.940,,,,,,,,,,,,,,
0,16.190,381.430,,,,,,,,,,,,,,
0,17.510,381.320,,,,,,,,,,,,,,
0,23.150,381.210,,,,,,,,,,,,,,
0,28.140,380.990,,,,,,,,,,,,,,
12,31.000,380.953,,,,,,,,,,,,,,
2,31.000,380.900,,,,,,,,,,,,,,
13,31.660,380.850,,,,,,,,,,,,,,
0,32.230,380.410,,,,,,,,,,,,,,
0,33.380,380.140,,,,,,,,,,,,,,
0,35.540,379.810,,,,,,,,,,,,,,
0,36.770,379.810,,,,,,,,,,,,,,
0,37.460,379.500,,,,,,,,,,,,,,
0,40.160,379.280,,,,,,,,,,,,,,
0,40.650,378.920,,,,,,,,,,,,,,
0,41.380,378.870,,,,,,,,,,,,,,
0,43.320,379.110,,,,,,,,,,,,,,
0,44.000,378.730,,,,,,,,,,,,,,
0,46.430,378.430,,,,,,,,,,,,,,
16,46.760,378.290,,,,,,,,,,,,,,
0,46.990,378.030,,,,,,,,,,,,,,
0,49.830,378.000,,,,,,,,,,,,,,
0,52.700,377.820,,,,,,,,,,,,,,
0,54.250,378.040,,,,,,,,,,,,,,
0,56.710,377.720,,,,,,,,,,,,,,
0,57.940,377.050,,,,,,,,,,,,,,
0,59.240,376.980,,,,,,,,,,,,,,
0,61.240,377.130,,,,,,,,,,,,,,
0,63.040,377.310,,,,,,,,,,,,,,
0,64.150,377.450,,,,,,,,,,,,,,
0,65.970,377.740,,,,,,,,,,,,,,
0,66.870,377.800,,,,,,,,,,,,,,
0,68.120,378.050,,,,,,,,,,,,,,
16,70.610,378.080,,,,,,,,,,,,,,
0,71.680,378.240,,,,,,,,,,,,,,
0,74.120,379.390,,,,,,,,,,,,,,
0,75.370,379.600,,,,,,,,,,,,,,
0,77.190,379.820,,,,,,,,,,,,,,
13,79.610,380.270,,,,,,,,,,,,,,
0,84.540,380.590,,,,,,,,,,,,,,
0,85.910,381.270,,,,,,,,,,,,,,
0,86.510,381.360,,,,,,,,,,,,,,
18,107.330,380.836,,,,,,,,,,,,,,
2,107.330,380.660,,,,,,,,,,,,,,
