C/E,Year,Month,Day,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m41,m42,m43,m44,m46
0,1986,1,1,0.0,1.274846005105517,0.795340646342871,0.8674888137073011,0,0.00653325791708886,0.163940630860124,2.08909261365311,0.956354578900127,0.00860279738162522,0.853201721361468,0.093354029848669,1.04064995193894,0.0237770149260559,1.09791800455005,0.00858463630948768,1.51765173131752,0.837887335568149,0.168907969090779,0.304555845432873,0.0420159122376407,0.421229207208652,1.20506948977875,0,0.660081421754515,0.891655138762754,1,1.79258996270264,0.0605769242913621,1.17480471279007,0.0151315020830822,0.760309718927397,1.05936629069721,1.80123208966191,0.209486894543234,0.0456530074979083,0.0304946356855757,1.17271857999531,0.0268415223359314,1.1149558042052,0.0649679564113029,0.334890040290196,0.0526027107472648,0.0100685848626512,0,0.866579267917187,1.29081660471713,0.764822235613861
0,1986,1,2,0.0,-0.8828011613124781,0.9980388737036352,0.8674888137073011,0,0.00308076303384265,0.0868532477149646,2.03180893172848,0.938570994066429,0.00400943493499599,0.819061386039757,0.0763695173009962,0.988184856112657,0.0192692695861637,1.04835828963945,0.00400094841902515,1.56603709661003,0.835964733199729,0.140329590796,0.269647216431625,0.0304541757982416,0.380127549315706,1.15345690660361,0,0.621553488415742,0.89051539733328,1,1.75318237615605,0.049096900427082,1.13186853459807,0.00700708053460782,0.721094287386434,1.01991733328708,1.75947990090622,0.176230698225004,0.0674461470353798,0.0135014724263151,1.13083157488002,0.0392833783272329,1.11493990240022,0.053177592925041,0.266609256229097,-0.00147485234504104,0.00768132942335887,0,0.835317386670751,1.23673135249443,0.739652345011666
0,1986,1,3,0.0,-3.632854164302338,0.6552781985144797,0.8674888137073011,0,0.00145273629039897,0.0384173375057051,1.97950504535909,0.924712124901534,0.0018686443230742,0.78722017550158,0.0626405021977156,0.944516619687262,0.0160665963027983,1.00401722725317,0.00186467867480006,1.61448740725383,0.834125994801095,0.116570300005705,0.239378480616574,0.0220739423337363,0.343036406758408,1.10463864391636,0,0.587468809562406,0.891499764592303,1,1.71453899687162,0.0400383187570378,1.09048740678053,0.00324662539611758,0.684837360123199,0.982129818229097,1.71899820853458,0.148675519422722,0.0673315898814207,0.00597876586325735,1.09034784821827,0.0394992773343132,1.11493138688194,0.0433117296075672,0.219315035606474,-0.0687230578365009,0.00503614475927761,0,0.814040369115393,1.1849134457643,0.716750628447757
0,1986,1,4,17.281584456779495,-2.4580379175139453,0.24519310049349424,0.9165207901342357,10.3446631222803,1.97654274114363,1.82252279141528,2.32121414003682,3.7489974510189,0.00087090367167659,1.28501678786192,2.1415606351793,1.55128599363179,5.9094555615213,1.29975773259424,0.000869050584122064,3.69893292099374,4.4819531537772,2.32493442035627,1.49339796537448,2.75607003642408,1.89702377992415,1.60216685297634,0,3.07057980270934,5.74924157743472,6.04233114094626,1.72919588292132,1.8563220302636,2.97729357261377,1.80555681846841,1.44167944657096,3.35245377952084,1.73121181915132,0.126395838161403,0.0561918218368167,2.54340818547865,1.05123348378441,0.0333260777715835,2.49338851240971,0.0352056644724894,2.92400100572797,0.409748806098596,0.00305856628520302,2.47203381098194,0.799645991533735,1.1485155712209,3.02986020612243
0,1986,1,5,0.0,-4.0962061396345995,0.36251901829304645,0.991954600021827,0,1.58376467139613,1.61044368809181,2.26479737806947,3.69535476716757,0.000405894902493583,1.63460798860811,1.76097224329544,1.46803034408839,2.93695340569214,1.25925670175998,0.000405028988536404,2.40326249877581,0.839988973546672,1.93270248216932,1.36361854008316,1.9976679545865,1.00517778248136,1.4377655842897,0,3.03430751987523,0.899617558664667,1,1.75326724496861,2.19717127205727,2.80878340392884,1.88309967498953,1.15163156164369,2.46883211272594,1.75446617639851,0.107765203211743,0.0422474977279323,1.39572289105278,1.01350286692471,0.0253660812378248,3.33544222095239,0.0285926145176936,1.97084644830372,0.670621410508289,0.00177386613686949,1.77895396667821,0.789074538691508,1.12894567993765,2.22049886192788
0,1986,1,6,0.05292954236542761,-6.76640051909013,0.34839510632922205,0.9664956891847649,0.0312646414563174,1.38175444322745,1.42688462932343,2.21109895659797,2.35604933362623,0.00018917209471348,1.59376582676913,1.45407827413222,1.39506831967328,1.48560620782353,1.22165984682481,0.000188767471717306,2.00645984813644,0.85199146386632,1.61313671281866,1.21369466216641,1.45622887500263,0.911531518365483,1.35124639349732,0,1.7916816748985,0.90305454429848,1.01176651848189,1.77059117495968,2.02491207293121,1.89992665230106,1.46921601715548,1.1795938815787,1.89725615118799,1.77223145472476,0.0920576113093562,0.0296590819619665,1.11247242063333,0.977168706245483,0.0180408841441077,2.5746707799988,0.0232136712977274,1.42220772443459,0.818431874443796,0.000997783928295489,1.31627303857182,0.781192191946443,1.11820714666164,1.70910858159586
0,1986,1,7,0.0,-5.982100121051694,0.5052479633156193,0.9664956891847649,0,1.17825205025274,1.24749447628257,2.15580757848507,1.66174870735504,8.8165880379838e-05,1.11120488897647,1.19434275078239,1.32218962983532,0.586191403748017,1.18188497799397,8.79768100200471e-05,1.90484840682658,0.840826806133157,1.34096455715964,1.07890943411236,1.05551079684069,0.820618144001236,1.29275079810024,0,1.17519445165761,0.904973905647202,1,1.77645905844981,1.68863704742577,1.44376947205178,1.02363853912493,1.1542502999517,1.51269451020799,1.77889389314666,0.0785467945919174,0.0198331634212104,0.87634069562871,0.942256671891918,0.0122268660460586,2.02077187743982,0.0188439307894056,1.01713337941148,0.902342302636864,0.000549177407660807,1.03232170484591,0.77479202116013,1.11123904514909,1.36912010952704
0,1986,1,8,0.007069766989582825,-3.673559320649747,0.5926783427300445,0.9664956891847649,0.00408640053505211,0.988367148872781,1.08230177761645,2.1011323371031,1.29690370580184,4.10907458343982e-05,1.05768055918108,0.981069980901378,1.25374228494923,0.18759857397363,1.14253294487265,4.10023985120364e-05,1.90627165108794,0.841741585273032,1.11531863164486,0.958389425128816,0.766138777710455,0.741034873907878,1.24548574808738,0,0.877331640225755,0.905982854616609,1,1.77120240920224,1.32158114021235,1.21755095966201,0.650564552926995,1.10750452384074,1.25719442036198,1.77424144881704,0.0668859675590247,0.0127895877698929,0.690731647553704,0.908756391872769,0.00799332177573643,1.6564545580714,0.0152958484373834,0.747785958707412,0.951669757311318,0.000297434296791387,0.82986473113738,0.769410895545349,1.10583318022565,1.14434447353279
0,1986,1,9,0.0,-4.06532979077565,0.4487822342120146,0.9664956891847649,0,0.833597232445821,0.942310072041285,2.0491736258405,1.10123343984208,1.91508255345983e-05,1.00844221752301,0.806112442111445,1.19383062149952,0.0932502753420307,1.10598793259201,1.91095435642955e-05,1.94138660969205,0.839360494248531,0.927113201499082,0.852289472572304,0.555316370450925,0.668511473623644,1.20176289387344,0,0.745472589461732,0.908022793682424,1,1.75717115868275,0.935466785175171,1.10971650948274,0.414843652463003,1.05166778678659,1.08318169040118,1.76068951315081,0.0570093140543569,0.00801910362466231,0.543558628689316,0.876569876605748,0.00508213819050416,1.43030417907793,0.0124155261179526,0.637068445590576,0.984199717124517,0.00015911263273319,0.71267778198475,0.765077120997621,1.1011265452334,0.990535338555731
0,1986,1,10,0.0,-5.961393637210871,0.46508492752299346,0.9165207901342357,0,0.693767475288091,0.815955851280755,1.99833565680852,0.994938775985272,8.92546755253497e-06,0.963039931982652,0.66226020387184,1.13814321129767,0.0574110802318571,1.07045367266139,8.90617789414924e-06,1.98046924694736,0.838261649156321,0.770652137513601,0.757863462958944,0.402507086474057,0.603281119893764,1.15914094162955,0,0.700612626638096,0.909772016167131,1,1.73668651728406,0.688151545678344,1.06435690792915,0.441865193935633,0.994276147859358,0.962789966081005,1.74030948091393,0.0486063104770914,0.00491652789334665,0.426723470224737,0.84559216147038,0.00316020202196734,1.29507815020801,0.0100774897610619,0.546046297374719,1.00995667539464,8.42934802770957e-05,0.58375181547224,0.761246268636309,1.09679172513079,0.882984192034957
0,1986,1,11,0.0,-5.687368675390262,0.5217784957565241,0.8920048019207686,0,0.562889033137698,0.699381915092019,1.94820248669648,0.935322610676296,4.15981916225184e-06,0.921065500441455,0.543835813952221,1.08539660737215,0.0397923406619916,1.03554448309522,4.15080582200845e-06,2.02158493155721,0.837006205441086,0.640580895497548,0.67359234431431,0.291747124811352,0.544415651849173,1.11699842146745,0,0.703802298057758,0.910863744526202,1,1.71163811211753,0.515437452417447,1.05337195146346,0.445953643736076,0.93854592037552,0.877065631510217,1.71488410092731,0.0414150352416201,0.00295958641197208,0.333287157702223,0.815738498136319,0.00192973858070969,1.2163116789255,0.00817970855241907,0.449242560508923,1.03429706168875,4.43095060711433e-05,0.460374800990792,0.757677379843654,1.09270321800266,0.805344383688238
0,1986,1,12,0.0,-6.131132207004859,0.5441221403903945,0.8674888137073011,0,0.443696586874292,0.593638985270376,1.89911331710774,0.900299823674897,1.93873266142598e-06,0.882162535135228,0.446504125260349,1.03599606511854,0.0296988527939956,1.00164486258565,1.9345210905023e-06,2.07425566669773,0.835641503858041,0.532448163478827,0.598577184531672,0.211465554932175,0.491294013209094,1.07542575075608,0,0.727891118947634,0.911627712794774,1,1.6835229246129,0.390179446283887,1.02107037378285,0.430740599695855,0.885941445188634,0.813767814066254,1.68599187937181,0.0352625446917138,0.001754595416153,0.258791989369396,0.786950046123047,0.00116071437805352,1.17131242384297,0.00663930416992137,0.383925816070218,1.05949030233443,2.3144117635025e-05,0.355799884770689,0.754320015268167,1.08881032022985,0.747322866562484
0,1986,1,13,0.0,-4.266170493961883,0.6574096872525196,0.8674888137073011,0,0.325139924080293,0.492121850549584,1.8502055015559,0.876626766129204,9.0356916632106e-07,0.846020811556401,0.366270796404093,0.98792118570241,0.0232997259156672,0.96797643390857,9.01601281793899e-07,2.12737255487545,0.834161608945167,0.442553272491938,0.531434328707925,0.153275481871233,0.443355745112989,1.03470733222432,0,0.647953534504801,0.911214999556188,1,1.65329930149237,0.297690984277185,0.971555627237101,0.398606724279951,0.8369706038419,0.76499358344542,1.6545683904048,0.0299617147745776,0.00102685758804463,0.19832870825376,0.759192857987341,0.000689293481924997,1.14598500106239,0.00538898534327207,0.329161783489405,1.08613379756204,1.20255617188218e-05,0.238061339767142,0.750938023707822,1.08508998018252,0.702378646365375
0,1986,1,14,0.0,-2.2865961599332323,0.6066556905928152,0.9165207901342357,0,0.22481302459974,0.404266282130973,1.80301778307714,0.861938328165293,4.21119040582659e-07,0.812369499391508,0.300565750162748,0.944067961762048,0.0189511573085067,0.935992409177836,4.20199539474252e-07,2.18063968248565,0.832628454015806,0.36782006483208,0.472000422380121,0.111097872677779,0.400095078663198,0.995123739503949,0,0.591807868409075,0.911264367715431,1,1.62187107107784,0.228709764102655,0.929638976711414,0.355307586819154,0.791675274675148,0.725644103896627,1.62188631189477,0.0254450652943636,0.000594352155971461,0.150801030834034,0.732421387290074,0.000404899984621058,1.13189743022585,0.00437412627486169,0.284854000367586,1.1110905534544,6.22114529541257e-06,0.165138263207342,0.747773194165893,1.08152947537673,0.666310891997409
