8101030250,石狩川水系,空知川,左岸
31.500,340.000,空知川橋,80.520,20111203
34.000,130.000,星の降る里大橋,86.510,20111207
34.500,320.000,旭橋歩道橋,86.260,20111206
38.500,90.000,泰山橋,101.030,20111116
44.000,190.000,新共栄橋,110.390,20111126
45.500,320.000,野花南大橋,107.610,20111117
48.500,310.000,一号橋,122.130,20111126
49.000,340.000,大滝橋,132.900,20111126
