8101030250,石狩川水系,空知川,右岸
31.500,280.000,空知川橋,79.990,20111203
34.000,140.000,星の降る里大橋,84.420,20111207
34.500,340.000,旭橋歩道橋,86.360,20111206
38.500,60.000,泰山橋,98.940,20111116
44.000,190.000,新共栄橋,108.880,20111126
45.500,430.000,野花南大橋,107.610,20111122
48.500,200.000,一号橋,121.590,20111126
49.000,410.000,大滝橋,132.920,20111126
