8101030250,石狩川水系,空知川,右岸
65.000,114.000,富良野大橋,166.020,20171113
67.000,21.000,第四空知川橋梁,170.220,20171109
67.200,79.000,一区排水樋門,163.780,20171018
68.000,106.000,新空知橋,171.310,20171109
68.200,12.000,弥生排水樋門,166.780,20171018
69.400,104.000,ふらの五条大橋,175.050,20171108
69.600,274.000,富良野排水樋門,169.150,20171018
71.000,5.000,西扇山排水樋門,173.480,20171018
71.600,73.000,中島排水樋門,172.900,20171017
74.800,117.000,布部大橋,190.550,20171106
75.600,10.000,滝の沢排水樋門,186.500,20171017
76.800,148.000,第二空知川橋梁,197.030,20171106
