8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,,,,
195.800 ,188.000 ,293.070 ,295.372 ,,,288.930,290.830 ,20201119,,,
196.000 ,208.000 ,293.929 ,295.323 ,,,290.770,291.750 ,20201119,,,
196.200 ,202.000 ,295.574 ,294.255 ,,,292.840,293.640 ,20201119,,,
196.400 ,186.000 ,301.042 ,296.852 ,,,293.430,294.070 ,20201119,,,
196.600 ,204.000 ,303.501 ,302.627 ,,,294.310,295.640 ,20201119,,,
196.800 ,220.000 ,303.541 ,300.801 ,,,296.170,297.620 ,20201119,,,
197.000 ,206.000 ,304.600 ,301.206 ,,,297.540,298.650 ,20201119,,,
197.200 ,215.000 ,307.052 ,303.036 ,,,299.400,300.520 ,20201119,,,
197.400 ,178.000 ,309.886 ,304.506 ,,,300.090,301.970 ,20201119,,,
197.600 ,209.000 ,306.715 ,308.369 ,,,302.460,303.690 ,20201119,,,
197.800 ,187.000 ,308.329 ,309.226 ,,,303.910,305.080 ,20201119,,,
198.000 ,217.000 ,309.458 ,310.601 ,,,304.200,306.410 ,20201119,,,
198.200 ,184.000 ,311.141 ,311.792 ,,,305.540,307.390 ,20201119,,,
198.400 ,198.000 ,316.150 ,313.449 ,,,307.890,309.210 ,20201119,,,
198.600 ,189.000 ,313.951 ,315.893 ,,,309.220,310.940 ,20201119,,,
198.800 ,222.000 ,315.291 ,315.838 ,,,311.690,312.650 ,20201119,,,
199.000 ,214.000 ,317.610 ,318.127 ,,,313.070,314.340 ,20201119,,,
199.200 ,177.000 ,316.960 ,318.612 ,,,314.110,315.020 ,20201119,,,
199.400 ,198.000 ,319.585 ,319.470 ,,,315.160,316.360 ,20201119,,,
199.600 ,185.000 ,322.070 ,323.467 ,325.510,,317.120,318.730 ,20201119,,,
199.800 ,203.000 ,324.482 ,327.427 ,327.580,,319.310,320.880 ,20201119,,,
