8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
177.600 ,200.000 ,189.070 ,193.310 ,191.810 ,193.880 ,181.500 ,184.430 ,20190204
177.800 ,213.000 ,190.789 ,192.442 ,192.760 ,193.330 ,182.630 ,184.925 ,20190204
178.000 ,218.000 ,191.173 ,194.351 ,193.810 ,194.160 ,183.460 ,185.632 ,20190204
178.200 ,202.000 ,191.689 ,191.278 ,194.730 ,195.310 ,185.410 ,187.169 ,20190204
178.400 ,181.000 ,195.485 ,195.316 ,,196.430 ,188.170 ,188.340 ,20190204
178.600 ,253.000 ,198.529 ,193.708 ,,197.980 ,189.230 ,190.580 ,20190204
178.800 ,243.000 ,199.533 ,194.566 ,,198.750 ,189.610 ,191.431 ,20190204
179.000 ,239.000 ,204.633 ,196.428 ,,199.930 ,191.370 ,192.804 ,20190204
179.200 ,202.000 ,203.097 ,197.797 ,,201.080 ,192.230 ,193.237 ,20190204
179.400 ,182.000 ,202.223 ,197.522 ,,201.710 ,192.550 ,194.605 ,20190204
179.600 ,225.000 ,202.188 ,199.385 ,,203.460 ,193.430 ,195.929 ,20190204
179.800 ,211.000 ,199.782 ,200.509 ,,204.460 ,195.390 ,196.904 ,20190204
180.000 ,194.000 ,205.604 ,202.035 ,,205.410 ,195.760 ,197.922 ,20190204
180.200 ,225.000 ,202.125 ,202.785 ,,206.720 ,197.510 ,199.178 ,20190204
180.400 ,214.000 ,207.571 ,204.067 ,,208.020 ,198.320 ,200.232 ,20190204
180.600 ,209.000 ,209.020 ,203.685 ,,208.890 ,199.940 ,201.531 ,20190204
180.800 ,203.000 ,211.153 ,204.826 ,,210.050 ,200.520 ,202.244 ,20190204
181.000 ,186.000 ,206.803 ,206.146 ,210.910 ,210.780 ,202.290 ,203.036 ,20190204
