8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
147.000 ,0.000 ,99.252 ,97.370 ,,96.950 ,85.490 ,86.270 ,20190218
147.200 ,170.000 ,95.708 ,91.371 ,,97.780 ,85.550 ,86.770 ,20190218
147.400 ,205.000 ,93.885 ,91.468 ,,97.870 ,85.610 ,87.120 ,20190218
147.600 ,190.000 ,95.739 ,92.073 ,,97.920 ,86.070 ,87.260 ,20190218
147.800 ,200.000 ,95.917 ,92.362 ,,98.140 ,85.850 ,86.970 ,20190218
148.000 ,200.000 ,101.092 ,90.808 ,,98.340 ,86.830 ,87.640 ,20190218
148.200 ,190.000 ,100.280 ,91.054 ,,98.380 ,86.600 ,88.020 ,20190218
148.400 ,215.000 ,91.658 ,91.250 ,,98.600 ,87.550 ,88.440 ,20190218
148.600 ,210.000 ,92.977 ,91.604 ,,98.670 ,87.930 ,88.730 ,20190218
148.800 ,201.000 ,92.385 ,93.841 ,,98.810 ,87.860 ,89.050 ,20190218
149.000 ,175.000 ,92.589 ,92.762 ,,99.480 ,88.260 ,89.160 ,20190218
149.200 ,230.000 ,92.797 ,94.389 ,,99.490 ,87.300 ,89.430 ,20190218
149.400 ,178.000 ,92.956 ,95.605 ,,,87.000 ,89.360 ,20190218
149.600 ,190.000 ,93.300 ,98.003 ,,,88.170 ,89.780 ,20190218
149.800 ,185.000 ,93.645 ,93.491 ,,,88.760 ,89.880 ,20190218
150.000 ,213.000 ,93.923 ,94.190 ,,99.810 ,89.750 ,90.480 ,20190218
150.200 ,216.000 ,95.920 ,94.905 ,,100.370 ,89.700 ,90.840 ,20190218
150.400 ,205.000 ,93.468 ,95.226 ,,100.490 ,90.660 ,91.520 ,20190218
150.600 ,155.000 ,94.665 ,95.320 ,100.660 ,100.810 ,90.800 ,92.050 ,20190218
150.800 ,183.000 ,95.447 ,98.885 ,100.920 ,100.970 ,91.120 ,91.920 ,20190218
151.000 ,208.000 ,96.293 ,95.829 ,101.090 ,103.930 ,91.300 ,91.990 ,20190218
151.200 ,210.000 ,96.655 ,98.654 ,101.690 ,101.180 ,90.680 ,92.180 ,20190218
151.400 ,199.000 ,97.284 ,96.198 ,101.920 ,101.530 ,91.310 ,92.110 ,20190218
151.600 ,189.000 ,97.504 ,100.088 ,102.240 ,,90.980 ,92.260 ,20190218
151.800 ,206.000 ,98.130 ,101.097 ,102.560 ,,91.260 ,92.870 ,20190218
152.000 ,174.000 ,98.270 ,100.335 ,102.600 ,,92.990 ,93.710 ,20190218
152.200 ,170.000 ,98.843 ,98.099 ,102.880 ,,93.490 ,93.780 ,20190218
152.400 ,200.000 ,102.739 ,100.198 ,103.150 ,,93.460 ,93.880 ,20190218
152.600 ,206.000 ,98.253 ,98.997 ,,,93.160 ,94.250 ,20190218
152.800 ,173.000 ,101.831 ,100.121 ,,,93.000 ,94.680 ,20190218
153.000 ,260.000 ,97.449 ,102.102 ,103.740 ,,94.390 ,95.600 ,20190218
