9.200,183.000,135.478,133.868,131.400,132.290,101,0.000,135.580,133.900,133.340,0,20170123,8101030410,êŒéÎêÏêÖån,î¸âlêÏ,
0,-7.130,136.650,,,,,,,,,,,,,,
0,-2.740,135.910,,,,,,,,,,,,,,
1,0.000,135.478,,,,,,,,,,,,,,
2,0.000,135.180,,,,,,,,,,,,,,
0,1.250,134.850,,,,,,,,,,,,,,
0,3.580,134.050,,,,,,,,,,,,,,
0,4.710,132.940,,,,,,,,,,,,,,
0,7.140,132.120,,,,,,,,,,,,,,
0,8.790,131.570,,,,,,,,,,,,,,
0,10.350,131.790,,,,,,,,,,,,,,
0,11.840,131.940,,,,,,,,,,,,,,
0,14.140,131.610,,,,,,,,,,,,,,
0,15.380,131.650,,,,,,,,,,,,,,
0,17.440,131.960,,,,,,,,,,,,,,
0,18.510,132.020,,,,,,,,,,,,,,
0,21.500,131.890,,,,,,,,,,,,,,
0,22.530,131.260,,,,,,,,,,,,,,
2,25.000,131.370,,,,,,,,,,,,,,
12,25.000,131.400,,,,,,,,,,,,,,
13,25.420,131.320,,,,,,,,,,,,,,
0,26.160,130.990,,,,,,,,,,,,,,
0,27.330,130.000,,,,,,,,,,,,,,
16,28.250,129.890,,,,,,,,,,,,,,
0,30.810,129.550,,,,,,,,,,,,,,
0,34.590,129.530,,,,,,,,,,,,,,
0,38.790,129.570,,,,,,,,,,,,,,
0,43.800,129.580,,,,,,,,,,,,,,
0,47.670,129.590,,,,,,,,,,,,,,
0,52.530,129.600,,,,,,,,,,,,,,
0,57.700,129.520,,,,,,,,,,,,,,
0,63.020,129.350,,,,,,,,,,,,,,
0,67.870,129.190,,,,,,,,,,,,,,
0,70.880,129.220,,,,,,,,,,,,,,
16,72.460,129.910,,,,,,,,,,,,,,
0,72.690,130.670,,,,,,,,,,,,,,
0,75.000,131.540,,,,,,,,,,,,,,
0,76.790,131.660,,,,,,,,,,,,,,
13,77.650,131.980,,,,,,,,,,,,,,
0,79.630,131.820,,,,,,,,,,,,,,
0,83.170,132.020,,,,,,,,,,,,,,
2,86.000,132.290,,,,,,,,,,,,,,
12,86.000,132.290,,,,,,,,,,,,,,
0,91.840,132.080,,,,,,,,,,,,,,
0,93.530,131.780,,,,,,,,,,,,,,
0,102.750,131.980,,,,,,,,,,,,,,
0,104.450,131.640,,,,,,,,,,,,,,
0,111.160,131.690,,,,,,,,,,,,,,
0,115.490,132.160,,,,,,,,,,,,,,
0,122.200,132.020,,,,,,,,,,,,,,
0,126.130,131.890,,,,,,,,,,,,,,
0,128.260,130.870,,,,,,,,,,,,,,
0,128.660,130.800,,,,,,,,,,,,,,
0,129.090,130.910,,,,,,,,,,,,,,
0,129.830,131.160,,,,,,,,,,,,,,
0,130.710,131.220,,,,,,,,,,,,,,
0,132.380,131.860,,,,,,,,,,,,,,
0,138.240,131.840,,,,,,,,,,,,,,
0,145.130,131.950,,,,,,,,,,,,,,
0,152.410,131.890,,,,,,,,,,,,,,
0,159.110,132.270,,,,,,,,,,,,,,
0,161.570,132.820,,,,,,,,,,,,,,
0,164.700,132.720,,,,,,,,,,,,,,
0,172.850,132.350,,,,,,,,,,,,,,
0,176.980,132.370,,,,,,,,,,,,,,
0,178.260,132.320,,,,,,,,,,,,,,
0,179.150,132.320,,,,,,,,,,,,,,
0,179.580,132.750,,,,,,,,,,,,,,
0,180.540,132.930,,,,,,,,,,,,,,
0,181.330,132.900,,,,,,,,,,,,,,
0,182.390,132.240,,,,,,,,,,,,,,
0,184.700,132.500,,,,,,,,,,,,,,
0,186.270,132.570,,,,,,,,,,,,,,
0,188.300,131.590,,,,,,,,,,,,,,
0,188.960,131.600,,,,,,,,,,,,,,
0,191.290,132.690,,,,,,,,,,,,,,
0,195.930,132.790,,,,,,,,,,,,,,
0,197.890,132.580,,,,,,,,,,,,,,
0,201.010,132.590,,,,,,,,,,,,,,
25,202.400,132.780,,,,,,,,,,,,,,
3,211.220,137.060,,,,,,,,,,,,,,
0,211.830,137.180,,,,,,,,,,,,,,
0,212.850,137.190,,,,,,,,,,,,,,
0,214.810,137.210,,,,,,,,,,,,,,
3,215.560,137.050,,,,,,,,,,,,,,
25,221.820,133.900,,,,,,,,,,,,,,
28,221.820,133.900,,,,,,,,,,,,,,
2,224.030,133.820,,,,,,,,,,,,,,
18,224.030,133.868,,,,,,,,,,,,,,
0,224.450,133.890,,,,,,,,,,,,,,
0,224.560,133.760,,,,,,,,,,,,,,
0,225.410,133.210,,,,,,,,,,,,,,
5,226.650,133.030,,,,,,,,,,,,,,
0,227.290,132.300,,,,,,,,,,,,,,
0,227.770,132.330,,,,,,,,,,,,,,
5,228.990,133.370,,,,,,,,,,,,,,
0,229.590,133.400,,,,,,,,,,,,,,
0,230.130,133.050,,,,,,,,,,,,,,
0,232.090,133.090,,,,,,,,,,,,,,
0,232.930,133.420,,,,,,,,,,,,,,
0,234.040,133.390,,,,,,,,,,,,,,
28,235.820,132.830,,,,,,,,,,,,,,
