8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
181.200 ,0.000 ,208.988 ,213.278 ,212.560 ,213.690 ,202.100 ,204.630 ,20180204
181.400 ,169.000 ,209.399 ,209.073 ,213.890 ,,204.380 ,205.520 ,20180204
181.600 ,208.000 ,210.036 ,209.054 ,214.650 ,,205.570 ,206.900 ,20180204
181.800 ,212.000 ,210.591 ,210.533 ,215.770 ,,206.900 ,208.090 ,20180204
182.000 ,190.000 ,213.039 ,211.934 ,216.740 ,,207.720 ,208.800 ,20180204
182.200 ,199.000 ,212.951 ,211.940 ,217.770 ,,209.090 ,209.780 ,20180204
182.400 ,213.000 ,213.637 ,212.556 ,219.140 ,,209.620 ,210.790 ,20180204
182.600 ,207.000 ,214.799 ,215.275 ,220.280 ,,211.440 ,212.390 ,20180204
182.800 ,158.000 ,214.604 ,216.678 ,221.120 ,221.040 ,211.580 ,213.310 ,20180204
183.000 ,234.000 ,216.971 ,217.696 ,222.320 ,222.540 ,213.080 ,214.700 ,20180204
183.200 ,204.000 ,219.211 ,218.664 ,223.390 ,223.560 ,214.280 ,215.640 ,20180204
183.400 ,212.000 ,219.656 ,219.942 ,224.520 ,224.680 ,215.930 ,217.190 ,20180204
183.600 ,181.000 ,221.139 ,221.088 ,225.450 ,225.640 ,215.710 ,218.020 ,20180204
183.800 ,213.000 ,223.127 ,222.196 ,227.020 ,227.420 ,217.030 ,219.370 ,20180204
184.000 ,194.000 ,223.820 ,223.718 ,227.720 ,227.910 ,218.310 ,220.470 ,20180204
184.200 ,200.000 ,226.546 ,225.245 ,228.860 ,228.770 ,219.030 ,221.570 ,20180204
184.400 ,190.000 ,225.762 ,226.691 ,229.800 ,229.750 ,219.310 ,222.170 ,20180204
184.600 ,196.000 ,229.513 ,227.851 ,230.910 ,230.830 ,221.450 ,223.580 ,20180204
184.800 ,240.000 ,229.945 ,228.767 ,232.320 ,232.330 ,221.620 ,224.790 ,20180204
185.000 ,171.000 ,231.467 ,230.318 ,233.560 ,233.420 ,222.440 ,225.850 ,20180204
