1.000,105.000,10.887,6.213,6.572,6.338,71,7.280,7.260,6.210,6.080,0,20141110,8101030104,êŒéÎêÏêÖån,ãôêÏ
14,-30.200,10.600
4,-30.200,10.600
14,-27.200,10.600
22,-26.100,10.640
4,-25.800,10.610
28,-19.400,7.230
28,-15.600,7.280
24,-15.600,7.280
0,-11.000,9.710
0,-6.400,9.900
3,-5.000,10.640
2,0.000,10.890
1,0.000,10.887
3,2.200,10.920
0,8.500,7.820
0,11.400,7.720
24,15.400,6.480
2,19.540,6.660
12,19.540,6.572
13,20.040,6.630
0,24.440,4.910
0,29.540,4.520
0,34.540,4.320
0,39.440,4.170
0,40.040,3.050
16,40.840,2.720
0,41.540,2.020
0,44.540,1.820
0,49.540,1.970
0,54.540,1.770
0,56.240,1.820
17,57.040,1.920
0,57.740,2.020
17,57.840,2.720
16,57.840,2.720
0,58.140,3.550
0,59.340,4.210
0,63.940,4.310
10,66.240,5.160
10,67.540,5.720
0,68.640,6.320
12,68.780,6.338
2,68.780,6.330
13,68.780,6.330
25,75.390,6.330
0,78.990,7.500
0,82.190,7.710
3,89.190,10.870
0,89.790,11.230
0,90.190,11.240
0,93.090,11.290
3,93.390,11.290
0,96.690,9.600
0,99.690,8.300
0,102.190,8.120
25,106.490,6.210
28,106.490,6.210
0,114.590,6.080
18,117.190,6.213
2,117.190,5.950
28,117.190,5.950
0,118.090,6.160
0,118.590,6.190
0,118.590,6.330
5,118.680,6.030
0,118.960,6.030
0,119.050,6.330
5,119.050,6.220
0,119.490,6.160
0,120.590,5.920
0,124.190,5.880
