8101030250,石狩川水系,空知川,左岸
1.000,25.000,空知川水管橋,30.370,20181114
1.250,5.000,第一空知川橋梁,29.370,20181114
1.250,220.000,南空知太樋門,20.910,20181031
3.000,13.000,空知大橋,31.210,20181115
3.500,0.000,滝川公園樋門,25.900,20181031
3.500,155.000,新空知大橋,37.510,20181116
4.250,239.000,空知川取水管橋,38.060,20181119
4.750,95.000,富平樋門,28.380,20181031
5.750,75.000,下赤平樋門,28.890,20181031
6.500,135.000,空知川橋,40.980,20181106
9.500,110.000,住吉一号樋門,33.490,20181108
10.250,208.000,住吉二号樋門,35.360,20181108
12.000,82.000,新成大橋,44.440,20181030
13.000,219.000,北海頭首工,36.010,20181030
13.000,239.000,北海頭首工取水口,37.710,20181119
14.000,143.000,赤平水管橋,51.900,20181031
14.250,55.000,第三空知川橋梁,48.710,20181031
16.250,0.000,豊橋,50.530,20181031
17.250,122.000,赤平橋下流,51.370,20181022
17.500,115.000,泉町樋門,42.750,20181119
17.750,163.000,錦町樋門,43.950,20181119
