8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
137,0,67.953,76.607,,,56.25,60.26,20100127
137.5,0,71.749,73.212,,,61.51,62.89,20100127
138,0,76.553,78.04,,,61.42,63.34,20100127
138.5,0,91.121,84.08,,,56.57,63.71,20100127
139,0,76.292,78.103,,,52.73,60.39,20100127
139.2,210,79.648,85.406,,,58.76,64.82,20100127
139.4,195,79.712,86.65,,,60.89,65.87,20100127
139.6,215,82.023,84.466,,,62.06,67.26,20100127
139.8,195,82.821,83.494,,,62.93,67.35,20100127
140,168,78.002,83.068,,,65.44,67.4,20100127
140.2,228,77.668,82.815,,,62.52,68.32,20100127
140.4,195,82.723,81.595,,,68.03,70.63,20100127
140.6,218,83.382,81.248,,,66.41,70.15,20100127
140.8,213,87.055,81.555,,,70.27,72.75,20100127
141,203,84.744,82.426,,,69.21,72.1,20100127
141.2,195,85.372,81.573,,,71.26,73.47,20100127
141.4,188,83.368,82.814,,,69.76,74.05,20100127
141.6,208,84.794,82.586,,,71.97,74.85,20100127
141.8,180,85.408,82.763,,,72.96,75.61,20100127
142,193,86.193,84.315,,,74.87,75.51,20100127
142.2,215,86.317,84.449,,,75.57,76.14,20100127
142.4,195,87.404,85.798,,,74.64,76.97,20100127
142.6,190,88.252,85.914,,,74.38,76.74,20100127
142.8,218,87.163,93.411,,,75.68,77.33,20100127
143,308,88.222,92.045,,,75.99,78.52,20100127
143.2,275,89.316,86.301,,,75.8,78.38,20100127
143.4,170,91.465,86.323,,,75.72,78.93,20100127
143.6,193,91.9,87.236,,,78.68,80.13,20100127
143.8,188,90.33,89.356,,,78.1,80.68,20100127
144,203,90.396,89.778,,,77.43,79.76,20100127
144.2,210,90.227,89.213,,,78.62,80.35,20100127
144.4,195,91.074,91.082,,,77.86,80.77,20100127
144.6,198,96.221,91.22,,,76.76,79.92,20100127
144.8,220,100.248,90.782,,,79.51,81.61,20100127
145,128,99.998,91.205,,,79.45,81.54,20100127
145.2,173,100.228,91.699,,,81.32,82.44,20100127
145.4,250,98.73,91.769,,,78.29,81.59,20100127
145.6,225,93.237,91.535,,,81.5,84.19,20100127
145.8,200,92.46,92.383,,,83.55,84.24,20100127
146,160,99.128,94.631,,,80.75,84.29,20100127
146.2,235,99.759,91.171,,,82.63,84.05,20100127
146.4,210,98.972,91.35,,,83.85,85.09,20100127
146.6,205,98.17,92.045,,,84.54,85.5,20100127
146.8,188,98.145,89.363,,,84.98,85.8,20100127
