0	6.81 
6.4	6.96 
12.8	9.43 
19.2	12.42 
25.6	13.05 
32	13.09 
38.4	11.30 
44.8	9.39 
51.2	8.31 
57.6	7.36 
64	5.15 
70.4	7.24 
76.8	7.74 
83.2	6.81 
89.6	3.90 
96	4.43 
