26.000,236.000,300.847,305.277,297.785,299.081,102,300.850,300.460,0.000,303.330,0,20190218,8101030409,êŒéÎêÏêÖån,íâï êÏ,
28,-16.610,300.510,
0,-5.150,300.510,
0,-4.970,300.670,
0,-3.780,300.600,
0,-2.900,300.560,
2,0.000,300.650,
1,0.000,300.847,
0,1.040,300.610,
0,2.520,299.930,
8,3.110,299.880,
0,3.320,299.880,
0,3.740,298.850,
0,4.750,298.850,
0,5.170,299.880,
8,5.370,299.880,
0,6.350,299.940,
0,7.360,300.430,
0,9.090,300.680,
28,12.660,300.850,
24,12.660,300.850,
3,22.090,303.900,
14,22.560,304.030,
0,22.690,304.040,
0,24.350,304.050,
0,25.730,304.030,
14,25.880,304.020,
3,26.620,303.860,
24,32.300,300.630,
0,34.560,300.770,
0,37.770,300.720,
0,42.260,300.390,
0,56.030,300.460,
0,66.920,300.360,
0,80.840,300.340,
0,95.670,300.630,
0,103.660,300.640,
10,108.880,300.300,
13,110.020,300.340,
10,113.790,298.660,
0,115.540,298.450,
17,121.670,298.360,
17,122.850,297.870,
0,125.470,297.430,
2,127.000,297.610,
12,127.000,297.785,
0,128.440,297.620,
0,129.770,296.160,
0,130.780,295.710,
16,131.670,295.570,
0,132.440,295.330,
0,136.800,294.940,
0,142.070,295.060,
0,148.680,295.200,
0,154.310,295.160,
0,159.340,295.210,
0,162.760,295.310,
0,166.780,295.340,
16,169.590,295.570,
0,178.260,295.610,
0,179.890,295.970,
0,184.030,296.090,
0,188.720,295.980,
13,193.060,298.880,
12,194.000,299.081,
2,194.000,298.990,
0,202.430,299.060,
0,210.800,298.700,
0,216.450,298.920,
0,223.830,299.590,
0,238.780,300.540,
0,245.310,299.500,
0,248.590,300.110,
0,257.570,300.520,
8,260.850,300.490,
5,261.280,300.500,
0,261.930,299.000,
0,264.660,299.000,
5,265.320,300.500,
8,265.690,300.480,
0,268.220,300.740,
0,274.960,303.470,
0,275.950,303.690,
0,278.860,304.990,
2,279.870,305.220,
18,279.870,305.277,
0,280.960,305.660,
14,281.310,305.750,
22,281.740,305.760,
22,281.740,306.460,
0,282.100,305.770,
0,282.310,305.770,
0,282.390,305.630,
0,287.220,305.680,
0,291.720,305.590,
0,291.940,305.620,
14,293.270,305.640,
0,294.370,305.580,
0,295.360,305.070,
0,295.360,305.070,
0,300.330,304.870,
0,313.440,305.050,
0,324.850,305.210,
