8101030410,êŒéÎêÏêÖån,î¸âlêÏ,,,,,,
35.8,199,264.35,264.17,268.35,,261.9,260.96,20170324
36,204,264.94,266.32,270.19,,263.37,264.54,20170324
36.2,181,266.96,267.69,271.38,,265.11,266.21,20170324
36.4,214,269.47,268.57,273.06,,266.47,267.74,20170324
36.6,228,269.72,272.15,275.01,,268.47,269.67,20170324
36.8,227,274.43,272.05,277.08,,269.78,271.4,20170324
37,214,276.76,275.8,279.23,,271.66,273.34,20170324
37.2,214,277.38,276.2,281.38,,274.22,275.69,20170324
37.4,195,279.79,279.77,283.33,,276.32,277.68,20170324
