8101030031,石狩川水系,豊平川,,,,,,
14.336,139.000,24.766,24.729,,,13.890,14.950,20211008
14.400,66.000,21.596,22.707,22.440,22.400,13.580,15.390,20211008
14.433,33.000,24.451,24.365,24.470,24.520,12.830,15.300,20211008
14.554,120.000,23.453,23.032,23.470,23.180,14.960,16.180,20211008
14.581,27.000,23.762,23.264,23.710,23.340,15.880,16.320,20211008
14.600,18.000,24.014,22.961,23.960,23.540,15.820,16.330,20211008
14.706,112.000,25.252,25.262,,,16.070,16.810,20211008
14.800,100.000,25.548,25.094,25.500,25.060,16.390,17.330,20211008
15.000,197.000,26.283,25.325,26.160,25.460,16.550,17.870,20211008
15.118,115.000,28.826,29.460,,,17.200,18.760,20211008
15.200,80.000,27.477,26.491,28.020,28.160,16.970,18.450,20211008
15.243,43.000,28.201,26.595,27.910,26.680,18.130,19.350,20211008
15.269,26.000,28.286,26.791,28.160,26.680,19.260,19.810,20211008
15.400,133.000,28.671,27.666,28.590,28.300,20.070,20.750,20211008
15.542,148.000,30.881,30.773,,,19.670,21.300,20211008
15.550,8.000,,,,,,,20211008
15.600,52.000,30.712,29.399,30.520,30.130,18.890,21.090,20211008
15.800,191.000,31.213,29.964,31.090,30.980,20.740,22.810,20211008
15.915,116.000,32.636,30.990,32.470,31.280,22.550,23.670,20211008
15.930,15.000,32.739,31.827,32.530,31.520,23.120,24.610,20211008
16.000,71.000,32.720,31.459,33.000,32.160,23.790,24.850,20211008
16.200,217.000,33.510,33.455,33.690,33.570,23.620,25.020,20211008
16.400,187.000,35.168,34.151,34.060,34.830,26.080,27.390,20211008
16.537,142.000,36.028,35.781,35.890,35.680,26.280,27.180,20211008
16.562,26.000,36.669,35.950,36.520,35.730,27.520,28.530,20211008
16.600,40.000,37.335,36.227,37.380,36.270,27.300,28.850,20211008
16.607,7.000,37.358,37.155,,,27.940,28.890,20211008
16.800,185.000,37.719,37.471,37.950,37.800,28.190,29.310,20211008
17.000,202.000,39.261,39.158,39.130,39.760,29.350,29.830,20211008
17.142,143.000,42.579,42.445,,,29.970,31.590,20211008
17.200,59.000,38.211,39.571,41.920,41.720,30.480,31.430,20211008
17.372,172.000,41.990,41.534,41.810,41.360,31.840,32.530,20211008
17.398,26.000,42.160,40.921,41.960,41.520,32.810,34.830,20211008
17.400,2.000,41.343,40.646,42.200,41.540,32.950,34.590,20211008
17.600,187.000,43.588,42.664,43.530,42.560,35.800,36.420,20211008
17.757,157.000,45.424,45.500,,,36.240,37.030,20211008
17.767,10.000,,,,,,,20211008
17.800,33.000,43.550,44.356,44.790,45.310,36.590,37.340,20211008
18.000,190.000,45.274,45.985,46.000,46.040,37.700,38.410,20211008
18.200,208.000,47.096,47.088,47.470,47.590,38.460,39.470,20211008
18.400,196.000,48.840,48.796,48.880,49.230,38.970,39.920,20211008
18.600,202.000,51.493,50.372,51.610,50.600,40.120,41.640,20211008
18.800,200.000,51.247,51.398,50.980,52.090,41.920,42.240,20211008
19.000,192.000,51.986,52.045,53.060,53.240,42.710,43.630,20211008
19.200,195.000,56.685,53.170,,56.900,43.840,44.910,20211008
19.212,10.000,56.693,57.462,,,43.970,45.300,20211008
19.400,155.000,54.219,55.314,55.260,56.250,45.130,46.100,20211008
19.600,220.000,55.637,56.768,56.630,56.700,45.770,47.350,20211008
19.800,192.000,57.502,58.667,58.540,58.470,46.180,47.180,20211008
20.000,185.000,58.721,60.347,60.700,60.380,46.660,48.260,20211008
20.200,200.000,61.651,61.387,62.620,62.340,49.220,50.160,20211008
20.390,187.000,64.101,64.801,,,49.380,52.890,20211008
20.400,10.000,62.712,64.211,63.660,64.020,49.570,52.940,20211008
20.600,192.000,64.513,63.185,64.650,64.920,52.530,54.740,20211008
20.752,149.000,66.460,66.578,,,54.540,56.010,20211008
20.800,47.000,60.922,65.825,66.410,66.640,54.870,56.380,20211008
21.000,185.000,62.359,66.882,67.300,67.800,55.620,56.340,20211008
21.200,193.000,68.607,67.869,69.210,69.070,56.330,57.950,20211008
21.400,200.000,67.164,67.713,,68.680,57.680,59.870,20211008
