variant,label,finite_hours,nse,rmse,bias,peak_ref,peak_sim,peak_t_ref,peak_t_sim,runtime_s
both_legacy,Pre-fix (both legacy),360,0.8863879025754602,219.57855462608143,167.47808192667833,2114.43153,2395.035317354784,180.0,157.0,427.03471755981445
river_fixed,Hydraulic-radius fix only,360,0.9619676169594955,127.04407117287256,105.57001151421471,2114.43153,2272.1030901607223,180.0,170.0,621.5076992511749
exchange_fixed,Exchange x2 fix only,360,0.8845963052403742,221.30309612729022,169.50483229264455,2114.43153,2395.57035650167,180.0,156.0,427.6835036277771
both_fixed,Both fixes (current model),360,0.9609414672848904,128.74654860647888,107.68732590757455,2114.43153,2271.6709533650296,180.0,169.0,487.86742782592773
