202.600,204.000,352.283,351.825,349.766,351.848,157,351.990,352.350,0.000,353.470,0,20210113,8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,
28,-15.700,352.330,,,,,,,,,,,,,,
0,-14.530,352.290,,,,,,,,,,,,,,
0,-5.340,352.100,,,,,,,,,,,,,,
19,-3.500,354.030,,,,,,,,,,,,,,
19,-3.500,352.230,,,,,,,,,,,,,,
0,-2.880,352.250,,,,,,,,,,,,,,
5,-1.920,352.100,,,,,,,,,,,,,,
0,-1.570,351.650,,,,,,,,,,,,,,
0,-1.240,351.670,,,,,,,,,,,,,,
5,-0.780,352.040,,,,,,,,,,,,,,
1,0.000,352.283,,,,,,,,,,,,,,
2,0.000,352.080,,,,,,,,,,,,,,
28,1.080,351.990,,,,,,,,,,,,,,
24,1.080,351.990,,,,,,,,,,,,,,
0,4.890,353.860,,,,,,,,,,,,,,
3,5.710,354.140,,,,,,,,,,,,,,
14,6.050,354.140,,,,,,,,,,,,,,
0,7.760,354.160,,,,,,,,,,,,,,
14,9.210,354.110,,,,,,,,,,,,,,
3,10.850,353.960,,,,,,,,,,,,,,
24,18.850,349.830,,,,,,,,,,,,,,
0,19.700,349.930,,,,,,,,,,,,,,
0,20.680,349.720,,,,,,,,,,,,,,
0,21.080,349.530,,,,,,,,,,,,,,
0,22.160,349.250,,,,,,,,,,,,,,
0,22.960,349.550,,,,,,,,,,,,,,
0,24.240,349.650,,,,,,,,,,,,,,
0,24.900,349.870,,,,,,,,,,,,,,
0,25.820,349.620,,,,,,,,,,,,,,
0,30.450,349.550,,,,,,,,,,,,,,
0,30.870,349.720,,,,,,,,,,,,,,
0,31.340,349.520,,,,,,,,,,,,,,
0,41.220,349.460,,,,,,,,,,,,,,
0,43.050,349.590,,,,,,,,,,,,,,
0,45.630,349.620,,,,,,,,,,,,,,
0,47.270,349.400,,,,,,,,,,,,,,
0,49.230,349.560,,,,,,,,,,,,,,
0,57.720,349.610,,,,,,,,,,,,,,
0,59.450,350.190,,,,,,,,,,,,,,
0,62.040,350.340,,,,,,,,,,,,,,
0,62.740,350.190,,,,,,,,,,,,,,
0,64.800,350.100,,,,,,,,,,,,,,
0,65.790,349.750,,,,,,,,,,,,,,
0,68.870,349.630,,,,,,,,,,,,,,
0,69.540,349.690,,,,,,,,,,,,,,
0,71.500,349.530,,,,,,,,,,,,,,
0,73.040,349.820,,,,,,,,,,,,,,
0,74.250,349.740,,,,,,,,,,,,,,
0,75.300,350.220,,,,,,,,,,,,,,
0,76.270,350.360,,,,,,,,,,,,,,
0,77.200,350.650,,,,,,,,,,,,,,
0,84.430,350.740,,,,,,,,,,,,,,
0,90.420,350.840,,,,,,,,,,,,,,
13,91.140,350.710,,,,,,,,,,,,,,
0,92.790,349.320,,,,,,,,,,,,,,
0,94.610,348.850,,,,,,,,,,,,,,
0,97.170,348.800,,,,,,,,,,,,,,
0,98.880,349.020,,,,,,,,,,,,,,
0,100.560,349.610,,,,,,,,,,,,,,
0,105.190,349.820,,,,,,,,,,,,,,
12,106.000,349.766,,,,,,,,,,,,,,
2,106.000,349.700,,,,,,,,,,,,,,
0,106.850,349.460,,,,,,,,,,,,,,
0,107.500,347.990,,,,,,,,,,,,,,
0,108.660,347.470,,,,,,,,,,,,,,
0,109.990,347.210,,,,,,,,,,,,,,
0,110.620,346.900,,,,,,,,,,,,,,
0,112.970,347.270,,,,,,,,,,,,,,
0,117.610,347.610,,,,,,,,,,,,,,
0,122.020,347.630,,,,,,,,,,,,,,
16,123.020,347.540,,,,,,,,,,,,,,
0,124.290,347.400,,,,,,,,,,,,,,
0,125.690,347.350,,,,,,,,,,,,,,
0,126.470,347.450,,,,,,,,,,,,,,
0,129.100,347.330,,,,,,,,,,,,,,
0,129.780,347.450,,,,,,,,,,,,,,
0,131.410,347.350,,,,,,,,,,,,,,
0,132.380,347.230,,,,,,,,,,,,,,
0,135.380,347.230,,,,,,,,,,,,,,
0,137.940,347.150,,,,,,,,,,,,,,
0,139.880,347.210,,,,,,,,,,,,,,
0,141.100,347.030,,,,,,,,,,,,,,
0,143.140,346.830,,,,,,,,,,,,,,
0,144.760,346.920,,,,,,,,,,,,,,
0,145.900,347.020,,,,,,,,,,,,,,
0,146.910,347.190,,,,,,,,,,,,,,
16,147.070,347.450,,,,,,,,,,,,,,
0,147.610,347.570,,,,,,,,,,,,,,
0,148.830,347.860,,,,,,,,,,,,,,
0,149.090,348.160,,,,,,,,,,,,,,
0,150.420,348.400,,,,,,,,,,,,,,
0,151.860,350.380,,,,,,,,,,,,,,
0,153.010,351.150,,,,,,,,,,,,,,
12,153.800,351.848,,,,,,,,,,,,,,
2,153.800,351.740,,,,,,,,,,,,,,
13,153.800,351.740,,,,,,,,,,,,,,
0,154.440,351.920,,,,,,,,,,,,,,
0,155.130,351.770,,,,,,,,,,,,,,
18,155.620,351.825,,,,,,,,,,,,,,
2,155.620,351.680,,,,,,,,,,,,,,
0,156.200,351.580,,,,,,,,,,,,,,
0,157.900,350.670,,,,,,,,,,,,,,
0,158.640,350.480,,,,,,,,,,,,,,
0,161.040,350.230,,,,,,,,,,,,,,
0,163.300,350.180,,,,,,,,,,,,,,
19,163.930,350.280,,,,,,,,,,,,,,
19,163.930,351.780,,,,,,,,,,,,,,
0,164.400,350.240,,,,,,,,,,,,,,
0,165.450,350.290,,,,,,,,,,,,,,
0,166.100,350.080,,,,,,,,,,,,,,
0,167.560,349.970,,,,,,,,,,,,,,
0,187.670,349.990,,,,,,,,,,,,,,
0,189.810,349.960,,,,,,,,,,,,,,
0,213.710,350.130,,,,,,,,,,,,,,
0,223.000,349.900,,,,,,,,,,,,,,
0,231.870,349.760,,,,,,,,,,,,,,
0,241.430,349.650,,,,,,,,,,,,,,
0,251.080,349.680,,,,,,,,,,,,,,
0,260.420,349.580,,,,,,,,,,,,,,
0,270.420,349.490,,,,,,,,,,,,,,
0,279.970,349.380,,,,,,,,,,,,,,
0,289.550,349.320,,,,,,,,,,,,,,
0,299.180,349.210,,,,,,,,,,,,,,
0,309.340,349.030,,,,,,,,,,,,,,
0,318.990,349.060,,,,,,,,,,,,,,
0,328.060,349.160,,,,,,,,,,,,,,
0,329.360,349.250,,,,,,,,,,,,,,
0,333.740,351.880,,,,,,,,,,,,,,
0,334.250,351.890,,,,,,,,,,,,,,
0,334.500,351.620,,,,,,,,,,,,,,
0,334.810,351.650,,,,,,,,,,,,,,
0,335.510,352.050,,,,,,,,,,,,,,
0,336.730,352.140,,,,,,,,,,,,,,
0,337.550,351.770,,,,,,,,,,,,,,
0,339.740,351.740,,,,,,,,,,,,,,
0,341.950,351.880,,,,,,,,,,,,,,
0,343.900,352.950,,,,,,,,,,,,,,
0,344.540,353.070,,,,,,,,,,,,,,
