192.000 ,200.000 ,266.930 ,271.520 ,267.820 ,269.480 ,97,266.640 ,266.340 ,,271.740 ,0,20201020,8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,
28,-38.900 ,266.310 ,,,,,,,,,,,,,
28,-36.400 ,266.310 ,,,,,,,,,,,,,
0,-27.700 ,266.310 ,,,,,,,,,,,,,
0,-19.400 ,266.310 ,,,,,,,,,,,,,
0,-12.300 ,266.310 ,,,,,,,,,,,,,
0,-9.606 ,266.310 ,,,,,,,,,,,,,
0,-8.926 ,266.310 ,,,,,,,,,,,,,
0,-8.236 ,266.740 ,,,,,,,,,,,,,
0,-7.022 ,266.740 ,,,,,,,,,,,,,
0,-5.474 ,266.640 ,,,,,,,,,,,,,
0,-3.109 ,266.010 ,,,,,,,,,,,,,
5,-2.757 ,265.890 ,,,,,,,,,,,,,
0,-2.632 ,265.490 ,,,,,,,,,,,,,
0,-1.706 ,265.530 ,,,,,,,,,,,,,
5,-1.366 ,265.940 ,,,,,,,,,,,,,
0,-1.222 ,265.990 ,,,,,,,,,,,,,
0,-0.599 ,266.440 ,,,,,,,,,,,,,
1,0.000 ,266.930 ,,,,,,,,,,,,,
2,0.000 ,266.590 ,,,,,,,,,,,,,
24,2.817 ,266.640 ,,,,,,,,,,,,,
0,4.663 ,267.500 ,,,,,,,,,,,,,
0,10.497 ,270.480 ,,,,,,,,,,,,,
0,11.574 ,270.960 ,,,,,,,,,,,,,
0,12.297 ,270.990 ,,,,,,,,,,,,,
0,13.766 ,271.040 ,,,,,,,,,,,,,
0,15.563 ,271.070 ,,,,,,,,,,,,,
0,16.432 ,271.120 ,,,,,,,,,,,,,
0,17.828 ,271.820 ,,,,,,,,,,,,,
3,18.378 ,272.070 ,,,,,,,,,,,,,
14,18.982 ,272.090 ,,,,,,,,,,,,,
0,21.051 ,272.080 ,,,,,,,,,,,,,
14,23.003 ,272.030 ,,,,,,,,,,,,,
3,23.611 ,271.980 ,,,,,,,,,,,,,
0,24.248 ,271.550 ,,,,,,,,,,,,,
24,31.713 ,268.080 ,,,,,,,,,,,,,
0,36.571 ,268.080 ,,,,,,,,,,,,,
0,42.668 ,268.110 ,,,,,,,,,,,,,
0,51.830 ,267.790 ,,,,,,,,,,,,,
0,57.734 ,267.770 ,,,,,,,,,,,,,
0,66.746 ,267.910 ,,,,,,,,,,,,,
0,68.519 ,267.810 ,,,,,,,,,,,,,
0,68.907 ,267.520 ,,,,,,,,,,,,,
12,72.059 ,267.820 ,,,,,,,,,,,,,
2,72.059 ,267.540 ,,,,,,,,,,,,,
13,72.554 ,267.530 ,,,,,,,,,,,,,
0,72.910 ,266.400 ,,,,,,,,,,,,,
0,74.360 ,265.960 ,,,,,,,,,,,,,
16,75.346 ,265.430 ,,,,,,,,,,,,,
0,76.814 ,264.780 ,,,,,,,,,,,,,
0,82.446 ,264.640 ,,,,,,,,,,,,,
0,88.876 ,264.690 ,,,,,,,,,,,,,
0,94.062 ,264.590 ,,,,,,,,,,,,,
0,98.632 ,264.770 ,,,,,,,,,,,,,
0,101.875 ,265.000 ,,,,,,,,,,,,,
0,103.690 ,265.180 ,,,,,,,,,,,,,
0,107.168 ,265.240 ,,,,,,,,,,,,,
16,108.573 ,265.410 ,,,,,,,,,,,,,
0,110.449 ,265.570 ,,,,,,,,,,,,,
0,118.384 ,265.810 ,,,,,,,,,,,,,
0,126.395 ,266.000 ,,,,,,,,,,,,,
0,134.255 ,265.890 ,,,,,,,,,,,,,
0,137.225 ,265.680 ,,,,,,,,,,,,,
0,139.026 ,266.280 ,,,,,,,,,,,,,
0,142.112 ,266.890 ,,,,,,,,,,,,,
0,149.149 ,267.490 ,,,,,,,,,,,,,
0,152.529 ,267.160 ,,,,,,,,,,,,,
0,154.564 ,266.720 ,,,,,,,,,,,,,
0,156.387 ,266.690 ,,,,,,,,,,,,,
0,158.761 ,265.600 ,,,,,,,,,,,,,
0,162.374 ,265.040 ,,,,,,,,,,,,,
0,163.663 ,265.040 ,,,,,,,,,,,,,
0,164.725 ,265.300 ,,,,,,,,,,,,,
0,168.447 ,267.170 ,,,,,,,,,,,,,
12,170.022 ,269.480 ,,,,,,,,,,,,,
2,170.022 ,269.390 ,,,,,,,,,,,,,
13,170.022 ,269.390 ,,,,,,,,,,,,,
0,172.219 ,269.890 ,,,,,,,,,,,,,
0,175.967 ,271.260 ,,,,,,,,,,,,,
18,180.484 ,271.520 ,,,,,,,,,,,,,
2,180.484 ,271.390 ,,,,,,,,,,,,,
0,185.104 ,271.320 ,,,,,,,,,,,,,
0,190.262 ,271.910 ,,,,,,,,,,,,,
0,191.581 ,272.370 ,,,,,,,,,,,,,
4,193.259 ,272.400 ,,,,,,,,,,,,,
0,195.098 ,272.390 ,,,,,,,,,,,,,
4,197.061 ,272.450 ,,,,,,,,,,,,,
5,199.073 ,272.390 ,,,,,,,,,,,,,
0,200.226 ,271.950 ,,,,,,,,,,,,,
0,200.565 ,271.860 ,,,,,,,,,,,,,
5,202.517 ,272.800 ,,,,,,,,,,,,,
0,208.355 ,272.990 ,,,,,,,,,,,,,
0,214.200 ,272.800 ,,,,,,,,,,,,,
0,221.000 ,273.300 ,,,,,,,,,,,,,
0,228.800 ,274.100 ,,,,,,,,,,,,,
0,231.200 ,275.300 ,,,,,,,,,,,,,
28,237.500 ,276.400 ,,,,,,,,,,,,,
28,240.700 ,276.900 ,,,,,,,,,,,,,
