1.0 	8405
2.0 	8555.312
3.0 	8870.969
4.0 	9469.75
5.0 	10170.156
6.0 	10987.188
7.0 	10242.062
8.0 	9254.5
9.0 	8140.188
10.0 	7662.625
11.0 	7421.125
12.0 	7439.5
13.0 	7758.562
14.0 	9506.812
15.0 	14651.156
16.0 	16414
17.0 	18172.469
18.0 	23298.438
19.0 	25850.5
20.0 	27076
21.0 	27039.25
22.0 	24822.875
23.0 	21522.031
24.0 	18253.25
25.0 	16341.344
26.0 	15296.25
27.0 	14553.375
28.0 	13842.375
29.0 	13212.75
30.0 	13732.5
31.0 	15750.656
32.0 	19131
33.0 	21099.75
34.0 	21962.875
35.0 	21609.812
36.0 	22176.75
37.0 	22041.562
38.0 	20908.875
39.0 	19456.75
40.0 	18204.25
41.0 	17330.781
42.0 	15805.375
43.0 	14957.5
44.0 	15682
45.0 	14767.594
46.0 	13770
47.0 	13528.5
48.0 	12551
49.0 	11732.719
50.0 	12159.938
51.0 	12308.719
52.0 	12204.5
53.0 	11498.375
54.0 	11015.375
55.0 	10734.219
56.0 	10994.75
57.0 	11530.719
58.0 	12068.188
59.0 	11009.656
60.0 	10343.75
61.0 	9928.969
62.0 	8647.312
63.0 	7521.375
64.0 	6537
65.0 	6370.312
66.0 	6176.75
67.0 	5953.625
68.0 	6279.25
69.0 	6640.188
70.0 	7011.625
71.0 	6895.594
72.0 	7053.75
73.0 	7740.844
74.0 	7759.688
75.0 	7642.219
76.0 	7474.875
77.0 	6991.969
78.0 	6567.375
79.0 	6474.188
80.0 	6339
81.0 	6230.375
82.0 	6248.75
83.0 	5975.562
84.0 	5610.5
85.0 	5350.625
86.0 	5536.125
87.0 	5883.375
88.0 	5865
89.0 	5536.25
90.0 	5020
91.0 	4537
92.0 	4330
93.0 	4321.156
94.0 	4135.438
95.0 	4134.656
96.0 	4302
