8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
159.2,0,116.796,117.072,117.39,117.17,106.68,108.96,20220217
159.4,182,118.393,117.683,119.04,117.77,106.81,109.59,20220217
159.6,212,119.038,118.771,119.1,117.73,107.76,110.15,20220217
159.8,174,119.383,116.142,119.43,119.4,108.01,109.98,20220217
160,160,115.856,119.589,119.92,119.72,109.7,110.65,20220217
160.2,234,120.406,120.368,120.66,120.29,109.68,111.42,20220217
160.4,130,121.043,118.82,120.98,120.99,110.05,112.04,20220217
160.6,212,121.827,121.455,121.7,121.57,111.35,112.51,20220217
160.8,203,122.303,122.104,122.32,122.27,111.97,113.41,20220217
161,203,122.873,123.373,122.97,123.32,111.86,114.12,20220217
161.2,185,123.478,123.578,123.56,123.87,112.85,114.6,20220217
