125
lat,-7.1945,-7.12661,-7.08353,-7.22057,-7.2496,-9999,-7.23782,-7.24462,-7.19858,-7.19815,-7.25191,-9999,-7.17517,-7.19885,-7.25725,-7.1884,-7.17858,-7.20461,-7.1774,-7.24206,-9999,-7.17601,-7.2175,-7.15601,-7.13143,-7.09916,-9999,-7.2224,-6.97859,-7.17699,-6.97049,-6.9134,-6.99881,-7.23802,-7.07752,-6.5505,-7.17699,-7.10149,-7.25953,-7.05065,-7.27293,-6.93422,-6.52268,-9999,-7.17601,-7.01803,-7.01253,-6.99094,-7.18717,-7.18357,-7.04637,-7.12093,-7.28925,-6.98662,-7.21593,-9999,-7.09415,-7.18814,-9999,-6.5832,-6.49647,-6.57844,-6.56825,-7.00443,-7.08877,-6.49672,-6.59205,-6.52562,-9999,-6.55376,-6.54005,-7.03991,-6.57042,-9999,-7.04346,-6.57432,-9999,-7.0048,-6.52752,-6.5108,-7.0352,-6.52096,-9999,-6.49322,-7.12242,-9999,-6.57653,-6.54653,-6.53636,-6.55688,-7.05882,-7.151580896,-9999,-7.227659217,-7.184504151,-9999,-7.090854783,-9999,-9999,-9999,-9999,-9999,-9999,-7.677319916,-7.630760235,-9999,-9999,-9999,-9999,-9999,-8.19745,-8.033870235,-7.903291126,-7.542195331,-9999,-7.664833333,-9999,-7.722433333,-9999,-7.501966667,-7.560866667,-9999,-7.841972124,-9999,-7.664833333
lon,111.95404,112.11159,111.54836,111.10918,111.84307,-9999,111.50948,111.87251,112.03012,111.92849,111.4876,-9999,112.05161,112.08596,111.92865,111.82055,112.01855,111.45457,111.4362,111.52269,-9999,112.0006,111.52241,112.30506,112.33346,112.31228,-9999,112.35248,112.41942,112.35092,112.45062,112.45833,112.50926,112.31521,112.57332,112.33289,112.35019,112.16655,112.13453,112.45607,112.13453,112.33713,112.17265,-9999,112.00061,112.22591,112.50289,112.37182,112.19255,112.19255,112.51372,112.39876,112.21582,112.28408,112.20853,-9999,112.32974,112.39878,-9999,111.42934,111.48626,111.57041,111.56538,111.93693,111.5293,111.44566,111.55495,111.387,-9999,111.03767,111.52996,112.05237,111.46159,-9999,111.59278,111.54414,-9999,111.47828,111.44566,111.4708,112.0065,111.42869,-9999,111.46616,111.93888,-9999,111.54387,112.00317,112.02829,111.45869,112.1051,111.8776857,-9999,111.3133329,112.2047132,-9999,112.4376733,-9999,-9999,-9999,-9999,-9999,-9999,111.2645095,111.5279494,-9999,-9999,-9999,-9999,-9999,111.1144333,111.4246162,111.6494466,111.6925927,-9999,110.9016833,-9999,110.6060167,-9999,110.6332667,110.7690167,-9999,111.2758642,-9999,111.1225667
2007/12/24 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/12/25 0:00,15,5,14,0,2,2,6,0,0,0,0,2,3,9,1,0,4,0,4,0,4,12,0,7,16,8,17,32,17,27,27,9,15,0,2,0,49,52,15,7,14,20,0,16,17,17,8,23,0,4,7,0,0,0,15,40,6,0,15,0,0,0,0,20,0,0,7,0,0,10,0,4,0,16,8,10,0,0,31,0,5,65,0,0,18,0,3,0,0,0,0,0,0,4,17,25,0,12,43,0,0,0,10,0,6,20,0,1,6,0,14,0,3,4,3,0,0,0,11,7,2,2,2,0,3
2007/12/26 0:00,46,40,52,42,85,61,30,65,68,59,70,48,4,40,61,61,57,62,75,62,24,39,49,12,51,46,50,50,134,61,177,155,145,46,95,0,32,0,46,200,6,109,55,41,43,31,164,119,0,40,122,77,60,0,62,0,53,36,40,43,34,0,67,0,46,35,98,28,39,78,40,40,18,57,46,27,20,6,0,27,27,95,43,27,37,34,29,64,67,10,51,50,50,131,43,137,77,29,0,41,15,3,5,149,120,105,112,162,76,87,85,96,136,91,242,0,186,52,147,50,133,162,157,0,194
2007/12/27 0:00,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,58,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,7,2,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,9,73,0,7,0,32,0,0,0,0,0,11,0,3,0,42,0,0,0,0,0,0,0,0,0,0,0,6,3,12,0,16,0,0,0,81,5,0,0,8.5,8,11,2.5,12,0,15,17,0,67,25,20,0,0,0,0,0,54,8,5,18,14,0,1
2007/12/28 0:00,14,5,15,0,5,8,0,3,0,0,11,5,0,11,5,4,7,0,0,9,9,6,7,0,9,4,0,6,0,0,4,0,0,2,7,0,0,0,6,2,0,3,0,10,11,3,9,12,0,7,14,0,6,1,7,6,8,10,9,11,6,0,6,0,10,9,4,11,11,3,9,9,0,0,15,7,5,8,13,0,14,0,6,10,0,5,3,7,8,0,4,0,12,4,11,9.5,9,76,5,8,18,1,20,59,61,0,49,18,9,23,25,0,3,35,10,41,50.5,70,14,0,111,20,26,0,56
2007/12/29 0:00,0,3,3,3,7,0,0,7,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,8,5,0,0,22,0,25,0,18,15,10,0,11,0,4,12,0,16,7,0,0,16,0,24,0,2,13,9,2,12,2,0,2,3,0,9,10,0,10,0,7,0,11,13,2,0,4,0,0,0,0,9,4,7,8,0,0,90,0,0,0,0,5,0,0,8,18,0,0,32,0,9,0,29,0,0,8,0,0,8,13.5,0,0,0,41,32,31,17,7,0,33,25,12.5,31,18,71,24.5,47,23,0,44
2007/12/30 0:00,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,0,11,0,2,7,0,48,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,12,3,0,2,0,0,0,0,7,0,6,0,5,0,2,0,15,4,4,70,0,5,7,0,23
2007/12/31 0:00,16,2,9,0,8,2,0,4,0,15,0,1,5,0,2,19,0,61,6,0,9,0,0,0,8,6,0,0,6,0,5,0,24,12,15,0,0,6,0,19,0,0,0,3,3,0,45,8,0,0,22,0,0,6,5,5,1,0,2,11,0,0,0,0,13,1,0,5,8,11,0,0,24,11,0,12,5,5,0,0,6,19,10,0,0,12,6,0,0,0,0,0,0,7,3,24.5,0,0,0,12,7,0,0,33,29.5,0,33,20,36,28,24,0,13,28,22,25,90,45,26,57,50,24,39,0,54
