9,Hpaan,Kawkayeit,Thaton,Mawlamyine,Yay,Mudon,Kyeikkhame,Belin,Thieinzayet
lat,16.912148,16.55,16.931257,16.5,15.247048,16.23333333,16.08333333,17.21666667,17.517583
lon,97.639158,98.25,97.381868,97.61666667,97.855761,97.71666667,97.56666667,97.23333333,96.880424
2013/7/14 9:00,25,115,22,18,89,32,35,16,3
2013/7/15 9:00,50,32,21,21,27,12,7,60,76
2013/7/16 9:00,31,41,56,26,58,20,15,80,106
2013/7/17 9:00,45,38,108,67,43,78,64,87,37
2013/7/18 9:00,27,10,24,24,95,29,59,20,8
2013/7/19 9:00,33,16,74,27,87,16,24,50,32
2013/7/20 9:00,128,40,106,77,69,42,40,93,19
2013/7/21 9:00,7,12,20,15,40,32,70,28,14
2013/7/22 9:00,10,106,65,67,109,70,93,52,9
2013/7/23 9:00,25,14,37,17,113,13,29,44,39
2013/7/24 9:00,45,10,102,126,136,42,130,45,37
2013/7/25 9:00,52,124,42,86,263,89,52,100,45
2013/7/26 9:00,49,35,41,34,13,70,73,34,77
2013/7/27 9:00,85,58,48,40,69,43,15,51,60
2013/7/28 9:00,97,272,112,63,64,78,77,66,47
2013/7/29 9:00,327,278,82,91,104,104,54,195,17
2013/7/30 9:00,162,244,142,126,94,171,123,92,3
2013/7/31 9:00,82,110,43,168,64,158,95,103,24
2013/8/1 9:00,36,31,37,26,121,27,52,48,21
2013/8/2 9:00,32,51,46,21,2,6,74,50,60
2013/8/3 9:00,2,7,0,5,60,4,13,39,4
2013/8/4 9:00,11,20,18,5,103,18,70,110,52
2013/8/5 9:00,1,0,1,0,2,0,0,19,21
2013/8/6 9:00,4,28,5,0,0,2,0,6,0
2013/8/7 9:00,2,6,1,0,0,3,0,12,5
2013/8/8 9:00,32,53,114,27,21,10,20,29,20
2013/8/9 9:00,101,6,25,25,10,11,17,26,60
2013/8/10 9:00,56,35,28,0,0,0,0,30,67
2013/8/11 9:00,10,25,30,0,4,0,0,41,30
2013/8/12 9:00,12,34,19,7,4,3,20,9,25
2013/8/13 9:00,0,9,7,1,1,0,7,2,0
2013/8/14 9:00,4,47,2,1,0,0,2,35,37
2013/8/15 9:00,13,36,27,23,22,15,95,74,13
2013/8/16 9:00,31,17,63,52,27,79,44,62,41
2013/8/17 9:00,29,39,24,60,71,71,52,24,53
2013/8/18 9:00,66,51,56,31,24,25,25,45,63
2013/8/19 9:00,7,62,12,30,16,20,43,15,21
2013/8/20 9:00,89,83,43,107,31,115,85,100,46
2013/8/21 9:00,79,89,75,91,51,69,48,61,57
2013/8/22 9:00,112,91,95,111,60,107,79,90,68
2013/8/23 9:00,74,97,120,74,105,105,221,81,11
2013/8/24 9:00,13,62,14,21,65,35,85,46,39
2013/8/25 9:00,52,30,49,128,81,37,54,34,13
2013/8/26 9:00,39,51,32,70,83,34,46,73,39
2013/8/27 9:00,16,48,16,37,2,19,6,31,30
2013/8/28 9:00,8,16,100,0,2,2,2,14,14
2013/8/29 9:00,36,49,13,79,18,42,138,32,15
2013/8/30 9:00,73,63,7,6,32,23,3,15,4
2013/8/31 9:00,13,0,3,7,20,2,72,1,6
2013/9/1 9:00,75,32,65,65,43,36,14,25,48
2013/9/2 9:00,4,59,2,2,0,3,0,2,12
2013/9/3 9:00,0,0,10,10,4,0,2,0,0
2013/9/4 9:00,0,3,5,5,0,0,17,6,0
2013/9/5 9:00,4,40,50,50,13,2,51,31,22
2013/9/6 9:00,8,2,9,9,14,31,12,5,28
2013/9/7 9:00,17,6,11,11,2,0,2,4,30
2013/9/8 9:00,12,8,18,18,3,1,9,2,6
2013/9/9 9:00,15,75,6,6,2,1,3,2,13
2013/9/10 9:00,31,53,23,23,4,4,5,10,19
2013/9/11 9:00,0,0,3,3,0,0,0,0,2
