8101030334,石狩川水系,雨竜川,右岸,
41.000,91.000,沼田第一頭首工,65.910,20140228,
41.000,100.000,沼田第一頭首工取水口,67.660,20140228,
42.000,75.000,宇摩頭首工,67.770,20140228,
43.400,68.000,竜山橋,76.770,20140228,
46.200,140.000,不知火橋,80.270,20140228,
50.400,0.000,鷹泊橋,87.450,20140228,
50.800,189.000,ヌップ下流樋門,83.940,20140228,
52.400,26.000,ヌップ上流樋門,86.290,20140228,
54.200,134.000,協栄橋,96.370,20140228,
