156.800 ,202.000 ,109.905 ,110.692 ,103.540 ,102.980 ,140,106.550 ,106.600 ,107.830 ,107.740 ,0,20211118,8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,
28,-27.000 ,106.630 ,,,,,,,,,,,,,,,
0,-22.130 ,106.670 ,,,,,,,,,,,,,,,
19,-17.370 ,106.660 ,,,,,,,,,,,,,,,
0,-16.190 ,106.300 ,,,,,,,,,,,,,,,
0,-15.520 ,106.330 ,,,,,,,,,,,,,,,
24,-14.520 ,106.550 ,,,,,,,,,,,,,,,
0,-9.760 ,108.740 ,,,,,,,,,,,,,,,
0,-6.900 ,110.090 ,,,,,,,,,,,,,,,
3,-6.680 ,110.230 ,,,,,,,,,,,,,,,
14,-5.900 ,110.290 ,,,,,,,,,,,,,,,
0,-3.370 ,110.350 ,,,,,,,,,,,,,,,
14,-0.920 ,110.260 ,,,,,,,,,,,,,,,
3,-0.750 ,110.240 ,,,,,,,,,,,,,,,
0,-0.540 ,110.130 ,,,,,,,,,,,,,,,
2,0.000 ,109.880 ,,,,,,,,,,,,,,,
1,0.000 ,109.905 ,,,,,,,,,,,,,,,
0,1.580 ,109.320 ,,,,,,,,,,,,,,,
14,2.060 ,109.300 ,,,,,,,,,,,,,,,
14,4.570 ,109.230 ,,,,,,,,,,,,,,,
0,5.180 ,109.180 ,,,,,,,,,,,,,,,
0,10.770 ,107.260 ,,,,,,,,,,,,,,,
24,16.220 ,105.530 ,,,,,,,,,,,,,,,
0,23.150 ,105.400 ,,,,,,,,,,,,,,,
14,26.300 ,105.150 ,,,,,,,,,,,,,,,
0,26.420 ,105.150 ,,,,,,,,,,,,,,,
0,30.480 ,105.160 ,,,,,,,,,,,,,,,
14,30.610 ,105.170 ,,,,,,,,,,,,,,,
10,36.470 ,105.140 ,,,,,,,,,,,,,,,
13,38.770 ,105.140 ,,,,,,,,,,,,,,,
0,38.790 ,104.980 ,,,,,,,,,,,,,,,
0,39.250 ,104.990 ,,,,,,,,,,,,,,,
0,43.530 ,103.560 ,,,,,,,,,,,,,,,
0,43.550 ,103.400 ,,,,,,,,,,,,,,,
0,44.030 ,103.400 ,,,,,,,,,,,,,,,
0,44.040 ,103.230 ,,,,,,,,,,,,,,,
10,49.270 ,103.240 ,,,,,,,,,,,,,,,
0,49.560 ,103.460 ,,,,,,,,,,,,,,,
12,50.030 ,103.540 ,,,,,,,,,,,,,,,
2,50.030 ,103.460 ,,,,,,,,,,,,,,,
0,50.700 ,103.340 ,,,,,,,,,,,,,,,
0,51.400 ,103.000 ,,,,,,,,,,,,,,,
10,51.600 ,102.610 ,,,,,,,,,,,,,,,
16,53.700 ,101.880 ,,,,,,,,,,,,,,,
0,53.710 ,101.780 ,,,,,,,,,,,,,,,
0,55.000 ,101.480 ,,,,,,,,,,,,,,,
0,56.000 ,101.030 ,,,,,,,,,,,,,,,
0,60.000 ,100.980 ,,,,,,,,,,,,,,,
10,65.000 ,100.930 ,,,,,,,,,,,,,,,
0,70.000 ,100.680 ,,,,,,,,,,,,,,,
0,75.000 ,100.880 ,,,,,,,,,,,,,,,
0,80.000 ,101.080 ,,,,,,,,,,,,,,,
0,84.000 ,101.480 ,,,,,,,,,,,,,,,
0,85.000 ,101.630 ,,,,,,,,,,,,,,,
16,86.300 ,101.830 ,,,,,,,,,,,,,,,
0,90.000 ,102.370 ,,,,,,,,,,,,,,,
2,93.800 ,102.880 ,,,,,,,,,,,,,,,
12,93.800 ,102.980 ,,,,,,,,,,,,,,,
0,103.000 ,103.240 ,,,,,,,,,,,,,,,
0,111.900 ,103.330 ,,,,,,,,,,,,,,,
0,121.070 ,103.080 ,,,,,,,,,,,,,,,
0,130.250 ,102.870 ,,,,,,,,,,,,,,,
0,139.980 ,102.790 ,,,,,,,,,,,,,,,
0,148.580 ,103.000 ,,,,,,,,,,,,,,,
0,153.110 ,104.300 ,,,,,,,,,,,,,,,
0,154.990 ,104.330 ,,,,,,,,,,,,,,,
0,157.280 ,104.080 ,,,,,,,,,,,,,,,
0,164.780 ,104.560 ,,,,,,,,,,,,,,,
0,169.480 ,104.910 ,,,,,,,,,,,,,,,
13,172.940 ,105.470 ,,,,,,,,,,,,,,,
14,174.810 ,105.400 ,,,,,,,,,,,,,,,
14,178.860 ,105.470 ,,,,,,,,,,,,,,,
0,181.580 ,105.470 ,,,,,,,,,,,,,,,
0,183.250 ,105.260 ,,,,,,,,,,,,,,,
14,185.170 ,105.180 ,,,,,,,,,,,,,,,
14,187.160 ,105.180 ,,,,,,,,,,,,,,,
0,188.030 ,105.300 ,,,,,,,,,,,,,,,
0,195.300 ,105.480 ,,,,,,,,,,,,,,,
14,199.740 ,105.440 ,,,,,,,,,,,,,,,
0,199.820 ,105.450 ,,,,,,,,,,,,,,,
0,199.840 ,105.390 ,,,,,,,,,,,,,,,
0,201.810 ,105.400 ,,,,,,,,,,,,,,,
0,201.830 ,105.430 ,,,,,,,,,,,,,,,
14,201.920 ,105.440 ,,,,,,,,,,,,,,,
0,210.550 ,105.490 ,,,,,,,,,,,,,,,
0,216.940 ,105.440 ,,,,,,,,,,,,,,,
0,222.810 ,105.490 ,,,,,,,,,,,,,,,
0,228.820 ,105.590 ,,,,,,,,,,,,,,,
14,235.720 ,105.530 ,,,,,,,,,,,,,,,
0,235.820 ,105.530 ,,,,,,,,,,,,,,,
0,235.830 ,105.480 ,,,,,,,,,,,,,,,
0,237.790 ,105.490 ,,,,,,,,,,,,,,,
0,237.810 ,105.530 ,,,,,,,,,,,,,,,
14,237.880 ,105.530 ,,,,,,,,,,,,,,,
0,246.820 ,105.600 ,,,,,,,,,,,,,,,
14,255.410 ,105.630 ,,,,,,,,,,,,,,,
0,255.520 ,105.630 ,,,,,,,,,,,,,,,
0,255.540 ,105.580 ,,,,,,,,,,,,,,,
0,258.090 ,105.590 ,,,,,,,,,,,,,,,
0,258.100 ,105.620 ,,,,,,,,,,,,,,,
14,258.190 ,105.630 ,,,,,,,,,,,,,,,
25,262.800 ,105.660 ,,,,,,,,,,,,,,,
0,266.640 ,105.970 ,,,,,,,,,,,,,,,
0,268.940 ,106.100 ,,,,,,,,,,,,,,,
14,274.170 ,107.850 ,,,,,,,,,,,,,,,
0,274.310 ,107.850 ,,,,,,,,,,,,,,,
0,274.340 ,107.880 ,,,,,,,,,,,,,,,
0,278.340 ,107.990 ,,,,,,,,,,,,,,,
0,278.380 ,108.200 ,,,,,,,,,,,,,,,
14,278.520 ,108.200 ,,,,,,,,,,,,,,,
0,280.330 ,108.340 ,,,,,,,,,,,,,,,
2,285.150 ,110.460 ,,,,,,,,,,,,,,,
18,285.150 ,110.692 ,,,,,,,,,,,,,,,
3,285.380 ,110.630 ,,,,,,,,,,,,,,,
14,286.030 ,110.760 ,,,,,,,,,,,,,,,
0,286.170 ,110.750 ,,,,,,,,,,,,,,,
0,286.190 ,110.790 ,,,,,,,,,,,,,,,
0,288.700 ,110.830 ,,,,,,,,,,,,,,,
0,290.650 ,110.880 ,,,,,,,,,,,,,,,
0,290.700 ,110.840 ,,,,,,,,,,,,,,,
14,290.820 ,110.840 ,,,,,,,,,,,,,,,
3,291.330 ,110.800 ,,,,,,,,,,,,,,,
0,291.900 ,110.570 ,,,,,,,,,,,,,,,
0,292.480 ,110.520 ,,,,,,,,,,,,,,,
0,294.150 ,109.430 ,,,,,,,,,,,,,,,
8,294.750 ,109.410 ,,,,,,,,,,,,,,,
0,295.290 ,109.410 ,,,,,,,,,,,,,,,
8,295.510 ,109.030 ,,,,,,,,,,,,,,,
14,296.200 ,108.990 ,,,,,,,,,,,,,,,
0,296.350 ,108.990 ,,,,,,,,,,,,,,,
0,296.380 ,108.790 ,,,,,,,,,,,,,,,
0,299.360 ,108.720 ,,,,,,,,,,,,,,,
0,299.380 ,108.680 ,,,,,,,,,,,,,,,
14,299.510 ,108.680 ,,,,,,,,,,,,,,,
0,299.860 ,108.640 ,,,,,,,,,,,,,,,
25,301.590 ,107.830 ,,,,,,,,,,,,,,,
5,302.090 ,107.780 ,,,,,,,,,,,,,,,
0,302.100 ,107.480 ,,,,,,,,,,,,,,,
0,302.330 ,107.480 ,,,,,,,,,,,,,,,
5 ,302.340 ,107.780 ,,,,,,,,,,,,,,,
28 ,305.630 ,107.680 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
