149.600 ,190.000 ,93.300 ,98.003 ,93.340 ,91.300 ,93,0.000 ,99.070 ,0.000 ,99.070 ,0,20190218,8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,
0,-39.260 ,98.450 ,,,,,,,,,,,,,,,
0,-36.240 ,98.440 ,,,,,,,,,,,,,,,
0,-32.030 ,98.260 ,,,,,,,,,,,,,,,
0,-31.330 ,97.970 ,,,,,,,,,,,,,,,
0,-26.110 ,97.900 ,,,,,,,,,,,,,,,
0,-20.310 ,97.770 ,,,,,,,,,,,,,,,
0,-15.530 ,95.390 ,,,,,,,,,,,,,,,
0,-10.500 ,93.220 ,,,,,,,,,,,,,,,
0,-5.340 ,93.130 ,,,,,,,,,,,,,,,
2,-0.001 ,93.140 ,,,,,,,,,,,,,,,
1,0.000 ,93.300 ,,,,,,,,,,,,,,,
0,0.001 ,93.140 ,,,,,,,,,,,,,,,
0,5.690 ,93.280 ,,,,,,,,,,,,,,,
0,12.120 ,93.230 ,,,,,,,,,,,,,,,
0,16.240 ,93.030 ,,,,,,,,,,,,,,,
0,16.600 ,93.000 ,,,,,,,,,,,,,,,
0,17.640 ,93.160 ,,,,,,,,,,,,,,,
2,19.999 ,93.290 ,,,,,,,,,,,,,,,
12,20.000 ,93.340 ,,,,,,,,,,,,,,,
13,22.000 ,93.120 ,,,,,,,,,,,,,,,
0,22.600 ,92.610 ,,,,,,,,,,,,,,,
0,25.400 ,92.070 ,,,,,,,,,,,,,,,
0,29.200 ,90.840 ,,,,,,,,,,,,,,,
16,29.400 ,90.260 ,,,,,,,,,,,,,,,
0,29.400 ,89.760 ,,,,,,,,,,,,,,,
0,30.000 ,89.660 ,,,,,,,,,,,,,,,
0,35.000 ,89.860 ,,,,,,,,,,,,,,,
0,40.000 ,89.860 ,,,,,,,,,,,,,,,
0,45.000 ,89.660 ,,,,,,,,,,,,,,,
0,50.000 ,89.560 ,,,,,,,,,,,,,,,
0,55.000 ,89.460 ,,,,,,,,,,,,,,,
0,60.000 ,89.060 ,,,,,,,,,,,,,,,
0,65.000 ,88.760 ,,,,,,,,,,,,,,,
0,70.000 ,88.710 ,,,,,,,,,,,,,,,
0,75.000 ,88.660 ,,,,,,,,,,,,,,,
0,78.500 ,89.360 ,,,,,,,,,,,,,,,
0,79.300 ,89.810 ,,,,,,,,,,,,,,,
16,79.300 ,90.240 ,,,,,,,,,,,,,,,
0,79.500 ,90.610 ,,,,,,,,,,,,,,,
0,81.400 ,91.270 ,,,,,,,,,,,,,,,
0,90.000 ,91.710 ,,,,,,,,,,,,,,,
0,92.600 ,91.300 ,,,,,,,,,,,,,,,
0,93.500 ,90.370 ,,,,,,,,,,,,,,,
16,95.000 ,90.120 ,,,,,,,,,,,,,,,
0,97.000 ,89.870 ,,,,,,,,,,,,,,,
0,100.000 ,89.920 ,,,,,,,,,,,,,,,
0,105.000 ,89.920 ,,,,,,,,,,,,,,,
0,108.600 ,90.070 ,,,,,,,,,,,,,,,
0,108.600 ,90.020 ,,,,,,,,,,,,,,,
0,114.700 ,89.970 ,,,,,,,,,,,,,,,
0,114.700 ,89.900 ,,,,,,,,,,,,,,,
0,120.000 ,89.770 ,,,,,,,,,,,,,,,
0,125.000 ,89.470 ,,,,,,,,,,,,,,,
0,130.000 ,89.270 ,,,,,,,,,,,,,,,
0,135.000 ,89.020 ,,,,,,,,,,,,,,,
0,140.000 ,88.520 ,,,,,,,,,,,,,,,
0,145.000 ,88.270 ,,,,,,,,,,,,,,,
0,150.000 ,88.170 ,,,,,,,,,,,,,,,
0,155.000 ,88.620 ,,,,,,,,,,,,,,,
27,157.000 ,89.570 ,,,,,,,,,,,,,,,
0,159.000 ,89.870 ,,,,,,,,,,,,,,,
0,160.000 ,89.770 ,,,,,,,,,,,,,,,
0,165.000 ,89.670 ,,,,,,,,,,,,,,,
0,170.000 ,89.770 ,,,,,,,,,,,,,,,
16,171.200 ,90.010 ,,,,,,,,,,,,,,,
0,171.900 ,90.220 ,,,,,,,,,,,,,,,
