kp,depth_m,equivalent_width_m,top_width_m,area_m2,thalweg_m,bank_elevation_m,survey_year,source_file
67.0,8.23,193.5562596047979,421.13820700248954,1592.9680165474867,3.04,11.27,H26,WZAA4068.CSV
67.5,7.940000000000001,225.19052244144606,477.5023454327883,1788.012748185082,2.86,10.8,H26,WZAA4069.CSV
68.0,9.120000000000001,205.40976938025963,350.8373983739839,1873.337096747968,2.18,11.3,H26,WZAA4070.CSV
68.5,7.630000000000001,176.3639681877755,334.2618181818181,1345.6570772727273,3.86,11.49,H26,WZAA4071.CSV
69.0,11.16,102.89306237836676,188.9977620466965,1148.286576142573,0.43,11.59,H26,WZAA4072.CSV
69.5,6.98,240.5903817028244,449.3414285714286,1679.3208642857144,4.6,11.58,H26,WZAA4073.CSV
70.0,10.1,136.12715486338013,343.2341201395812,1374.8842641201393,0.92,11.02,H26,WZAA4074.CSV
70.5,6.56,161.4051000420638,208.20847591179455,1058.8174562759384,4.21,10.77,H26,WZAA4075.CSV
71.0,9.56,200.74972312355908,434.2736734693878,1919.167353061225,3.91,13.47,H26,WZAA4077.CSV
71.5,11.99,127.88422815449523,426.01312724371763,1533.3318955723978,1.16,13.15,H26,WZAA4078.CSV
72.0,7.71,230.35010809601408,502.83114008941874,1775.9993334202686,4.69,12.4,H26,WZAA4079.CSV
72.5,10.68,156.90666043174474,449.86469308469304,1675.7631334110338,2.55,13.23,H26,WZAA4080.CSV
73.0,8.18,183.97691035755767,427.3775574940523,1504.9311267248218,4.7,12.88,H26,WZAA4081.CSV
73.5,8.219999999999999,182.5779958118657,334.8147332163514,1500.7911255735357,3.87,12.09,H26,WZAA4082.CSV
74.0,7.25,192.3140226506706,329.6193643198907,1394.276664217362,5.48,12.73,H26,WZAA4083.CSV
74.5,8.02,173.9021340924319,234.5895230524643,1394.6951154213039,5.05,13.07,H26,WZAA4084.CSV
75.0,7.92,147.53970972264452,221.83561872909704,1168.5145010033445,4.99,12.91,H26,WZAA4085.CSV
75.5,7.57,222.98555196906773,463.09338237222346,1688.0006284058427,6.43,14.0,H26,WZAA4086.CSV
76.0,8.54,144.46314237996324,211.5075991575992,1233.715235924886,5.37,13.91,H26,WZAA4087.CSV
76.5,7.720000000000001,195.69613269369688,466.06720771394134,1510.77414439534,5.83,13.55,H26,WZAA4088.CSV
77.0,11.100000000000001,134.79518739792422,402.42690058479536,1496.2265801169592,3.13,14.23,H26,WZAA4090.CSV
77.5,10.77,249.4932116277409,558.1084615384615,2687.0418892307694,5.55,16.32,H24①,WZAA4001.CSV
78.0,10.069999999999999,296.85733614697114,600.5949999999998,2989.353374999999,7.01,17.08,H24①,WZAA4002.CSV
78.5,7.999999999999999,248.2040818476164,565.0043191436396,1985.632654780931,7.45,15.45,H24①,WZAA4003.CSV
79.0,10.899999999999999,274.3771589978829,639.2723076923077,2990.711033076923,6.32,17.22,H24①,WZAA4004.CSV
79.5,12.06,247.00057162106137,628.88375,2978.82689375,5.4,17.46,H24①,WZAA4005.CSV
80.0,13.270000000000001,204.28338499539484,606.0588888888888,2710.8405188888896,4.42,17.69,H24①,WZAA4006.CSV
80.5,10.190000000000001,341.0503145750072,702.0260265700483,3475.302705519324,7.63,17.82,H24①,WZAA4007.CSV
81.0,8.82,186.58025697298876,456.69311923528426,1645.637866501761,7.15,15.97,H24①,WZAA4008.CSV
81.5,8.969999999999999,237.14497455127554,466.64890442890453,2127.190421724941,8.21,17.18,H24①,WZAA4009.CSV
82.0,10.530000000000001,194.1079327544459,418.37577392120073,2043.9565319043156,6.73,17.26,H24①,WZAA4010.CSV
82.5,11.610000000000001,255.86603404657296,594.6027459699833,2970.6046552807124,7.1,18.71,H24①,WZAA4011.CSV
83.0,10.440000000000001,234.49531269335577,482.9123136645963,2448.1310645186345,7.48,17.92,H24①,WZAA4012.CSV
83.5,10.59,223.95483872296123,413.3589582725416,2371.6817420761595,7.05,17.64,H24①,WZAA4013.CSV
84.0,10.549999999999997,237.35985060445552,528.2304812834224,2504.146423877005,7.94,18.49,H24①,WZAA4014.CSV
84.5,10.51,180.47046946998617,331.29773279352224,1896.7446341295547,8.44,18.95,H24①,WZAA4015.CSV
85.0,10.129999999999999,233.3062639820268,512.6186206896551,2363.392454137931,8.96,19.09,H24①,WZAA4016.CSV
85.5,9.37,226.1233712794972,527.0944444444443,2118.7759888888886,9.97,19.34,H24①,WZAA4017.CSV
86.0,11.81,185.37946543718766,481.6437362637364,2189.3314868131865,8.1,19.91,H24①,WZAA4018.CSV
86.5,10.350000000000001,218.5338650046205,499.3984751531656,2261.8255027978225,10.09,20.44,H24①,WZAA4019.CSV
87.0,10.990000000000002,231.81207333506651,521.925238095238,2547.6146859523815,9.61,20.6,H24①,WZAA4020.CSV
87.5,9.669999999999998,248.56174164610735,406.2547866268008,2403.5920417178577,11.21,20.88,H24①,WZAA4022.CSV
88.0,9.059999999999999,290.35172751103755,499.98624999999987,2630.5866512499997,12.14,21.2,H24①,WZAA4023.CSV
88.5,8.159999999999998,206.01087798092206,345.7735135135135,1681.0487643243237,12.33,20.49,H24①,WZAA4024.CSV
89.0,8.79,186.12368524838826,318.1266666666661,1636.0271933333327,12.77,21.56,H24①,WZAA4025.CSV
89.5,9.65,179.3765106528599,366.86856932876043,1730.983327800098,12.33,21.98,H24①,WZAA4026.CSV
90.0,6.85,277.3402097325342,484.8503006442376,1899.7804366678595,13.17,20.02,H24①,WZAA4027.CSV
90.5,6.5600000000000005,123.80849349161045,312.21262411347504,812.1837173049646,12.94,19.5,H24①,WZAA4028.CSV
91.0,8.669999999999998,203.1199192618223,501.9349999999996,1761.0496999999991,13.73,22.4,H24①,WZAA4029.CSV
91.5,8.179999999999998,181.46636219154507,345.66311449329163,1484.3948427268383,13.97,22.15,H24①,WZAA4030.CSV
92.0,8.139999999999999,151.82046366471363,312.5626923076923,1235.8185742307687,14.24,22.38,H24①,WZAA4032.CSV
92.5,8.57,163.3571215929151,287.77410256410246,1399.9705320512824,14.98,23.55,H24①,WZAA4033.CSV
93.0,7.57,330.5245016040763,729.2564285714285,2502.0704771428577,16.5,24.07,H24①,WZAA4034.CSV
