kp,lat,lon
0.1,43.2695980818031,141.37574697750648
0.5,43.26503021272029,141.37077405017536
1.0,43.260795877024975,141.3700914884482
1.5,43.257184897160194,141.36680495485666
2.0,43.253488510239386,141.36396172169452
2.5,43.24943570716216,141.3611483217853
3.0,43.24535313914622,141.35859589538057
3.5,43.24137145400746,141.3557744318198
4.0,43.23643151011659,141.35554849191408
4.5,43.23541590603392,141.35347864001673
5.0,43.2335214599808,141.35282539467096
5.5,43.23171183774061,141.35510885533995
6.0,43.227360563747276,141.35823814304084
6.5,43.22696525660424,141.36332725940716
7.0,43.22526635673532,141.36805975364487
7.5,43.223086744486025,141.37308053186868
8.0,43.22070113268944,141.37750955041858
8.5,43.21778648092007,141.38097274294765
9.0,43.21384746700831,141.38346259136205
9.5,43.21026000855615,141.38678465924224
10.0,43.206440698395504,141.39001921467587
10.5,43.202604016268296,141.3934499573191
11.0,43.19890654236219,141.39669589136457
11.5,43.19524427315291,141.40024692801373
12.0,43.19149195992267,141.40367311592036
12.5,43.18779141260926,141.40701828839101
13.0,43.18402409584685,141.41036410372385
13.5,43.18032709121263,141.41344565462006
14.0,43.17676724968244,141.4170616792244
14.5,43.17344708402198,141.42036117316482
15.0,43.17023844614635,141.4245478742161
15.5,43.16757152534173,141.42923917848995
16.0,43.16560775237272,141.43481078644172
16.5,43.16429916488505,141.44087663234666
17.0,43.159950298458,141.4448085261627
17.5,43.15615213399544,141.44742765199106
18.0,43.15287047614775,141.45166782065846
18.5,43.1517362605307,141.4568435830173
19.0,43.151238508294966,141.46282264574427
19.5,43.151053099444205,141.46865929550285
20.0,43.149478744259845,141.47378129948706
20.5,43.14736996958642,141.4793682330286
21.0,43.14477428915912,141.48466032508423
21.5,43.142316367679804,141.48983429848144
22.0,43.139857227608026,141.4961083577034
22.5,43.13798205446144,141.50165922892245
23.0,43.136507050628346,141.5061158481874
23.5,43.13474939732902,141.51169782864037
24.0,43.133152932982796,141.51670016494035
24.5,43.13187147102141,141.52077016918238
25.0,43.13006931791716,141.52674214188286
25.5,43.12852652311285,141.53181856559004
26.0,43.12696306258238,141.5372770662869
26.5,43.12622094961731,141.54248382110595
27.0,43.125540360391426,141.54809355862903
27.5,43.12385750496284,141.5555789721373
28.0,43.12090599829884,141.5616824572195
28.5,43.119450615626164,141.56620247838657
29.0,43.11841059698956,141.5690881035507
29.5,43.11881285995247,141.57367382717345
30.0,43.119618947891105,141.57591767140087
30.5,43.12145324170089,141.58279871091256
31.0,43.12329194181484,141.58845941814982
31.5,43.12626635460682,141.5927525678085
32.0,43.12906975901387,141.59740647097271
32.5,43.13210798141336,141.60315870506807
33.0,43.13379010876807,141.60661001208567
33.5,43.13641691170267,141.6098644100531
34.0,43.14017729413753,141.61323906274288
34.5,43.14420840338695,141.61546740512736
35.0,43.14805948158625,141.61664735772226
35.5,43.15192812166394,141.61670002420672
36.0,43.15625260842162,141.616538147227
36.5,43.161790018138646,141.6157876190884
37.0,43.16591902325456,141.61525216247264
37.5,43.16989884351671,141.615311739592
38.0,43.17413142404862,141.61718227625067
38.5,43.178229134565846,141.6196793068369
39.0,43.18257368371665,141.62345648374028
39.5,43.18653738270396,141.62702725368052
40.0,43.189776559061634,141.63036196644114
40.5,43.19364126106851,141.6338429070706
41.0,43.19684477748948,141.63720305789678
41.5,43.20110303338668,141.64101518055162
42.0,43.2049539355331,141.64505982464598
42.5,43.20765724340001,141.64835149722254
43.0,43.21134196717755,141.6530989967473
43.5,43.214051936211305,141.65676454591954
44.0,43.218282835712074,141.65969537198848
44.5,43.22273927382168,141.66157590419678
45.0,43.22695983344649,141.6623126395788
45.5,43.231556436741585,141.66264377178163
